gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.559 0.521 -0.02293396 0.038635254 -0.024749756
0.560 0.541 -0.008514404 0.04537964 -0.04219055
0.578 0.562 -0.0013580322 0.0071105957 -0.03652954
0.597 0.582 0.03227234 0.0013427734 -0.051483154
0.616 0.602 0.04927063 0.010345459 -0.061172485
0.638 0.622 0.04171753 0.005340576 -0.041610718
0.657 0.642 0.022338867 -0.0053863525 -0.0045166016
0.679 0.662 0.034942627 -0.007247925 0.014175415
0.697 0.682 0.06362915 -0.010238647 0.020019531
0.717 0.703 0.06135559 0.0014190674 0.021347046
0.737 0.723 0.050079346 0.010681152 0.022659302
0.757 0.743 0.055374146 0.0065612793 0.026489258
0.777 0.763 0.0652771 -0.0014648438 0.020751953
0.797 0.783 0.06573486 -0.0038757324 0.013137817
0.818 0.803 0.05003357 0.009643555 0.0014038086
0.837 0.823 0.023025513 0.030090332 0.0023498535
0.856 0.844 0.01727295 0.027526855 0.007019043
0.878 0.864 0.02482605 0.010223389 -0.0027008057
0.897 0.884 0.0181427 0.010971069 -0.01638794
0.917 0.904 0.014389038 0.0030975342 -0.022628784
0.936 0.924 -7.6293945E-4 0.0054626465 -0.028274536
0.959 0.944 -0.031555176 0.015838623 -0.04727173
0.977 0.964 -0.027801514 0.017852783 -0.062408447
0.997 0.985 -0.008331299 0.020187378 -0.049118042
1.016 1.005 -0.0064086914 -0.012939453 -0.032089233
1.036 1.025 0.005264282 -0.030334473 -0.025405884
1.056 1.045 0.01713562 -0.023269653 -0.008804321
1.076 1.065 0.006729126 -0.019210815 0.015594482
1.096 1.085 -0.0154418945 -0.013244629 0.030883789
1.115 1.105 -0.023254395 -0.016082764 0.041992188
1.135 1.126 -0.018661499 -0.012756348 0.048233032
1.156 1.146 -0.00932312 0.013412476 0.042175293
1.177 1.166 0.0043792725 0.011642456 0.015396118
1.196 1.186 -0.006286621 -0.011428833 0.0015258789
1.216 1.206 -0.01626587 0.013092041 0.010665894
1.235 1.226 0.002243042 0.023803711 -8.239746E-4
1.257 1.246 0.017944336 -0.0013580322 -0.017318726
1.276 1.267 -0.009643555 0.008270264 -0.020385742
1.296 1.287 -0.01914978 0.027816772 -0.031234741
1.316 1.307 -0.014572144 -0.0024871826 -0.03263855
1.340 1.327 -0.020614624 -0.008026123 -0.025314331
1.356 1.347 -0.02949524 0.0069732666 -0.029922485
1.375 1.367 -0.025558472 0.009155273 -0.025146484
1.396 1.387 -0.035003662 0.010391235 -0.012252808
1.415 1.408 -0.029220581 0.035827637 -0.002532959
1.440 1.428 -0.0105896 0.01737976 -8.8500977E-4
1.455 1.448 0.024993896 3.9672852E-4 -0.018569946
1.475 1.468 -0.0068969727 -0.0019836426 -0.0025482178
1.494 1.488 -0.032455444 0.018844604 0.012130737
1.515 1.508 -0.009094238 0.010650635 0.0058135986
1.535 1.528 -0.0019378662 0.017974854 -0.0048217773
1.555 1.549 -0.020324707 0.016555786 -0.012802124
1.575 1.569 -0.02859497 0.018066406 -0.024169922
1.594 1.589 -0.037963867 0.022155762 -0.01966858
1.615 1.609 -0.033050537 0.01965332 -0.028793335
1.635 1.629 -0.0315094 0.01838684 -0.0287323
1.654 1.649 -0.032424927 0.04425049 0.0012817383
1.674 1.669 7.6293945E-4 0.003753662 0.001373291
1.694 1.690 -0.05227661 -0.031402588 -0.028289795
1.715 1.710 -0.13529968 -0.0030822754 -0.0647583
1.735 1.730 -0.17782593 0.030303955 -0.06604004
1.754 1.750 -0.11773682 0.044815063 -0.05128479
1.774 1.770 -0.07966614 0.041809082 -0.00642395
1.814 1.790 -0.072006226 0.023666382 0.0066986084
1.837 1.810 -0.069000244 0.027755737 0.022766113
1.855 1.831 -0.015533447 0.017837524 0.030929565
1.873 1.851 0.056732178 0.0019073486 0.022949219
1.893 1.871 0.097076416 0.019058228 0.031906128
1.914 1.891 0.083496094 0.014297485 0.043563843
1.937 1.911 0.09136963 0.03614807 0.0027160645
1.953 1.931 0.05796814 0.04573059 -0.0055236816
1.973 1.951 0.0023345947 0.036315918 0.0040893555
1.993 1.972 -0.034210205 -0.020599365 0.022628784
2.014 1.992 -0.0423584 -0.043411255 0.032470703
2.032 2.012 -0.06237793 -0.041381836 0.033462524
2.054 2.032 -0.06959534 -0.041000366 0.027877808
2.073 2.052 -0.06451416 -0.040420532 0.032989502
2.093 2.072 -0.038604736 -0.009414673 0.024429321
2.114 2.092 0.0018005371 0.01676941 0.026123047
2.132 2.113 0.024932861 -0.0016174316 0.0443573
2.153 2.133 0.057388306 -4.5776367E-5 0.04849243
2.174 2.153 0.07678223 -5.0354004E-4 0.058517456
2.193 2.173 0.09436035 0.002532959 0.053710938
2.213 2.193 0.078826904 0.008544922 0.04510498
2.234 2.213 0.029281616 0.013839722 0.064834595
2.252 2.233 -0.010879517 0.01689148 0.08647156
2.272 2.254 -0.0105896 0.006286621 0.059280396
2.291 2.274 -0.012481689 0.012283325 0.031158447
2.313 2.294 -0.014419556 0.023727417 0.031448364
2.331 2.314 -0.027420044 0.03881836 0.03642273
2.351 2.334 -0.04286194 0.059646606 0.033843994
2.372 2.354 -0.0054626465 0.040527344 -0.060287476
2.391 2.374 -0.023956299 0.1105957 -0.28018188
2.412 2.394 -0.20994568 0.26713562 -0.50187683
2.431 2.415 -0.43460083 0.29981995 -0.5998535
2.452 2.435 -0.5506439 0.22013855 -0.51257324
2.472 2.455 -0.4566803 0.12922668 -0.32920837
2.491 2.475 -0.23817444 0.030288696 -0.15135193
2.511 2.495 -0.08508301 -0.034317017 -0.019821167
2.532 2.515 -0.0677948 -0.06913757 0.062301636
2.551 2.535 -0.078552246 -0.02230835 0.114364624
2.571 2.556 0.014053345 0.0741272 0.1532898
2.591 2.576 0.19622803 0.0632782 0.21788025
2.613 2.596 0.32740784 -0.017440796 0.29840088
2.631 2.616 0.33625793 -0.05833435 0.33317566
2.651 2.636 0.2892456 -0.0036773682 0.2828369
2.671 2.656 0.20307922 0.119384766 0.19548035
2.691 2.676 0.070617676 0.20916748 0.124435425
2.710 2.697 -0.036605835 0.16487122 0.07963562
2.731 2.717 -0.08143616 0.063797 0.06277466
2.751 2.737 -0.111083984 0.004852295 0.054656982
2.772 2.757 -0.15054321 -0.02519226 0.030059814
2.791 2.777 -0.20658875 -0.010543823 -0.009719849
2.813 2.797 -0.2671814 0.017669678 -0.01737976
2.832 2.817 -0.2932129 -0.0048828125 0.014450073
2.850 2.838 -0.24082947 -0.057144165 0.033187866
2.871 2.858 -0.13587952 -0.07392883 0.021377563
2.890 2.878 -0.067092896 -0.048339844 0.009307861
2.914 2.898 -0.049209595 0.0059814453 -0.0015716553
2.930 2.918 -0.04232788 0.03388977 0.009338379
2.949 2.938 -0.03565979 0.051223755 0.08872986
2.970 2.958 -0.015060425 0.040283203 0.18615723
2.991 2.979 0.010467529 0.0039978027 0.20704651
3.013 2.999 -0.0010528564 -0.032714844 0.17530823
3.032 3.019 -0.050430298 -0.031188965 0.13575745
3.050 3.039 -0.09851074 -0.0063934326 0.08804321
3.078 3.059 -0.11404419 -0.0048980713 0.055603027
3.090 3.079 -0.10598755 -0.0047454834 0.081085205
3.113 3.099 -0.097473145 0.028808594 0.12373352
