magnetometer-calibrated.txt

All values are in micro-Tesla (uT).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.388 0.369 -9.9105835 -37.1933 -34.60388
0.413 0.389 -9.873962 -37.306213 -34.56726
0.427 0.409 -9.588623 -37.539673 -34.516907
0.448 0.430 -9.075928 -37.026978 -34.76715
0.467 0.450 -9.075928 -37.1933 -34.76715
0.490 0.470 -8.992004 -37.35504 -34.93347
0.511 0.490 -8.74176 -36.361694 -35.4187
0.534 0.510 -8.92334 -36.724854 -35.1532
0.581 0.530 -9.408569 -37.042236 -34.44214
0.581 0.550 -9.408569 -35.36377 -34.44214
0.588 0.571 -9.606934 -36.346436 -34.536743
0.608 0.591 -10.076904 -37.882996 -34.370422
0.628 0.611 -10.076904 -36.029053 -33.46405
0.648 0.631 -9.757996 -36.242676 -33.56781
0.667 0.651 -9.130859 -37.184143 -34.26819
0.688 0.671 -9.242249 -38.19275 -35.255432
0.707 0.691 -8.500671 -37.794495 -35.087585
0.727 0.712 -7.885742 -37.026978 -34.65271
0.747 0.732 -9.408569 -37.026978 -34.44214
0.768 0.752 -9.34906 -37.210083 -34.381104
0.789 0.772 -9.118652 -36.53412 -34.03473
0.807 0.792 -8.908081 -34.864807 -33.62732
0.827 0.812 -8.648682 -35.772705 -34.13391
0.847 0.832 -8.506775 -36.92932 -34.41162
0.867 0.853 -8.908081 -36.528015 -33.62732
0.891 0.873 -8.770752 -36.665344 -34.29718
0.907 0.893 -8.433533 -37.14142 -35.255432
0.927 0.913 -8.239746 -37.527466 -35.255432
0.947 0.933 -8.74939 -36.875916 -34.61609
0.967 0.953 -9.262085 -36.325073 -34.223938
0.991 0.973 -9.075928 -36.694336 -34.76715
1.007 0.994 -9.153748 -37.53662 -34.24225
1.027 1.014 -8.618164 -37.2818 -34.08203
1.046 1.034 -7.9055786 -35.862732 -34.60388
1.067 1.054 -8.551025 -36.34491 -34.60388
1.089 1.074 -8.998108 -36.943054 -34.043884
1.107 1.094 -8.74176 -37.026978 -33.46405
1.128 1.114 -8.488464 -37.112427 -33.876038
1.147 1.135 -8.068848 -37.1933 -34.613037
1.167 1.155 -7.9055786 -37.1933 -34.93042
