x,y,z
32.04,-13.24,984.50
32.35,-13.61,986.82
30.40,-12.63,984.13
31.68,-13.67,986.63
31.37,-13.79,983.95
32.65,-13.31,985.41
29.85,-12.08,982.42
30.33,-13.85,985.47
28.99,-16.48,985.11
29.30,-13.79,982.18
32.53,-12.94,986.45
31.07,-11.72,984.31
28.93,-12.45,985.05
46.45,-12.57,983.28
32.59,-12.27,985.60
31.01,-10.99,985.05
31.31,-13.12,984.62
30.27,-12.82,985.66
30.82,-11.84,986.82
32.17,-13.43,982.54
30.64,-15.01,984.62
29.66,-14.53,985.66
31.56,-14.47,985.35
31.31,-12.94,984.68
33.02,-13.06,985.96
31.19,-14.71,983.46
28.81,-11.35,987.12
31.49,-12.39,984.44
31.74,-13.98,984.62
30.88,-15.50,984.25
31.86,-11.72,986.33
30.70,-14.53,984.13
32.47,-16.11,984.31
30.70,-13.31,985.35
29.17,-15.01,983.52
30.82,-14.65,984.19
31.80,-13.98,984.68
31.13,-14.89,984.68
30.03,-15.01,984.68
31.25,-14.34,983.95
31.37,-12.15,985.53
31.56,-14.53,985.29
32.71,-13.73,983.52
32.71,-14.59,984.80
32.17,-14.22,985.35
30.70,-11.96,984.07
28.75,-13.00,986.57
31.98,-13.37,984.68
31.37,-13.85,984.62
31.68,-12.33,987.18
30.70,-11.47,984.31
31.19,-12.27,984.37
29.91,-13.06,985.60
29.24,-14.59,985.41
30.70,-14.22,984.44
31.56,-15.14,984.62
31.98,-14.28,985.35
27.89,-11.47,985.11
29.30,-14.40,982.06
29.30,-13.85,984.07
30.40,-12.63,985.96
30.27,-13.24,986.15
32.78,-12.51,982.91
32.90,-11.29,986.02
29.97,-12.27,983.03
30.94,-11.29,984.56
31.13,-15.20,983.70
31.25,-15.26,984.68
32.17,-12.45,985.47
32.84,-12.39,984.37
32.29,-15.81,985.72
30.09,-13.31,984.44
31.43,-12.94,986.33
32.41,-11.66,985.35
29.79,-10.93,985.23
33.69,-13.24,982.97
31.62,-14.34,988.10
33.20,-13.31,985.96
31.37,-14.04,983.15
28.56,-14.34,984.74
29.72,-12.70,984.68
30.58,-12.57,986.02
30.03,-13.49,985.47
31.62,-10.86,987.06
30.52,-13.00,983.89
30.27,-12.39,986.39
31.86,-12.63,985.11
31.25,-12.51,985.41
30.64,-15.08,983.83
29.42,-15.44,983.34
29.66,-13.55,983.15
31.86,-13.06,987.49
31.19,-13.73,985.29
28.93,-15.08,981.38
32.04,-12.88,983.58
31.25,-12.57,986.94
29.91,-11.78,983.34
30.33,-14.95,983.76
29.72,-13.85,986.39
27.71,-12.63,984.19
30.52,-14.95,985.05
30.76,-14.40,985.60
29.66,-15.01,985.11
32.17,-12.51,986.45
33.33,-15.14,984.99
29.54,-11.84,984.25
31.49,-13.85,982.54
30.70,-14.34,984.92
29.17,-12.57,985.78
31.43,-12.70,983.89
32.29,-13.55,985.60
29.05,-15.01,984.68
31.19,-14.22,983.46
31.68,-13.31,984.13
30.64,-12.08,985.84
30.46,-14.40,982.12
33.26,-13.67,983.52
31.74,-12.57,985.41
32.17,-13.79,981.51
31.98,-13.37,984.62
31.37,-14.53,985.35
31.07,-13.55,983.83
31.68,-12.88,985.05
30.70,-13.31,984.80
33.33,-13.92,984.31
30.27,-15.14,984.01
30.03,-15.14,986.76
30.52,-13.79,984.92
31.25,-13.24,983.52
30.09,-11.35,985.78
31.07,-13.98,983.95
30.46,-13.79,985.60
30.21,-13.67,985.29
31.07,-13.73,983.22
28.75,-12.21,983.70
30.76,-12.02,981.57
30.70,-14.40,983.95
32.47,-11.23,986.08
31.80,-13.73,986.88
32.10,-11.17,983.34
30.46,-10.93,984.01
31.25,-17.40,988.28
30.03,-12.21,982.60
29.60,-13.79,987.98
30.94,-14.22,982.97
31.19,-12.94,983.58
31.62,-14.53,984.92
30.09,-11.41,984.19
30.46,-13.31,982.85
31.19,-12.82,982.79
30.46,-14.53,984.37
29.17,-12.94,985.11
33.26,-13.73,983.76
32.78,-13.92,984.44
29.72,-13.12,986.27
30.58,-12.63,984.44
31.01,-11.41,983.64
30.70,-13.61,983.64
30.21,-14.10,984.56
29.24,-11.35,983.95
28.93,-12.51,984.92
31.19,-12.76,984.92
29.79,-13.31,985.47
30.03,-14.47,982.97
29.97,-11.84,983.95
32.04,-12.94,985.60
30.76,-12.15,987.12
29.66,-12.45,984.19
30.70,-11.23,986.45
31.13,-13.18,982.97
31.43,-13.24,982.97
32.29,-12.45,984.01
32.96,-12.33,983.52
32.71,-13.55,983.22
32.41,-13.06,984.50
31.37,-12.82,986.08
32.35,-14.16,984.07
30.76,-12.33,986.21
31.13,-14.16,984.13
30.70,-14.47,984.56
32.23,-13.73,984.01
31.92,-12.27,984.01
28.99,-15.87,983.46
31.19,-12.33,983.22
32.53,-11.17,984.62
32.35,-13.24,985.60
30.64,-14.22,983.58
30.40,-12.45,984.19
31.92,-13.73,984.99
33.08,-12.21,983.95
31.86,-16.05,982.30
31.49,-12.88,983.95
16.30,-11.11,984.31
29.91,-12.94,981.14
28.26,-14.16,986.76
30.52,-12.82,985.29
32.04,-13.00,985.72
30.46,-13.37,982.60
31.98,-13.98,985.29
31.37,-13.18,984.31
32.47,-14.10,982.12
29.97,-12.82,983.83
32.29,-13.31,982.91
31.13,-13.37,984.07
28.26,-11.72,983.70
31.56,-12.63,984.25
32.17,-12.76,985.53
31.37,-14.47,997.25
31.74,-13.06,983.70
30.27,-14.04,984.31
32.10,-13.67,985.17
31.13,-13.55,985.66
31.80,-12.02,982.73
31.86,-10.44,985.17
30.15,-12.82,984.25
29.72,-13.49,985.11
31.31,-13.43,985.66
32.84,-13.12,982.48
32.10,-14.83,984.99
28.38,-15.20,984.13
29.91,-11.47,984.74
32.84,-12.82,983.76
29.60,-12.45,985.41
29.97,-13.31,982.18
32.35,-12.82,985.53
29.66,-11.90,984.62
29.54,-12.82,986.63
30.70,-12.33,986.63
30.70,-14.22,984.13
28.14,-11.41,985.66
30.88,-13.12,983.64
31.19,-13.06,984.44
26.43,-12.76,984.31
28.50,-15.50,985.72
30.40,-13.55,984.80
30.21,-12.57,984.25
31.37,-12.02,983.22
30.94,-11.47,986.15
31.68,-14.22,984.50
30.09,-14.10,986.88
30.94,-13.98,983.52
32.78,-11.72,985.66
31.43,-12.94,983.89
31.25,-15.14,985.78
31.37,-12.39,985.84
28.02,-14.59,984.31
31.74,-11.60,983.95
33.02,-13.61,984.74
31.07,-13.12,983.46
29.85,-13.37,986.39
30.52,-13.43,985.23
31.07,-12.70,986.33
30.33,-14.16,983.52
30.94,-13.92,984.62
30.94,-12.70,985.53
32.65,-12.70,983.89
31.07,-12.27,984.86
29.30,-12.57,985.53
29.79,-11.78,986.39
31.01,-13.98,987.67
31.49,-11.78,986.15
32.10,-11.78,983.34
30.52,-14.40,983.34
28.99,-13.79,985.17
29.42,-13.73,981.69
30.58,-11.66,984.56
30.76,-12.82,981.75
32.59,-12.08,985.60
33.08,-12.57,983.89
31.07,-11.90,985.84
29.79,-11.90,985.72
33.39,-13.24,983.28
31.43,-12.63,985.66
30.76,-13.00,985.29
30.15,-11.84,984.80
31.49,-15.44,985.53
29.85,-15.26,985.72
30.94,-11.35,985.96
34.00,-13.12,984.50
30.03,-16.11,986.39
30.82,-13.18,983.15
32.41,-13.31,985.29
30.15,-11.54,983.34
31.07,-12.63,983.95
29.24,-13.24,983.70
31.43,-13.98,986.21
30.52,-12.33,985.66
31.01,-10.93,982.30
30.21,-12.45,984.01
31.92,-13.12,986.63
30.27,-13.92,984.86
30.03,-14.34,984.01
31.80,-13.79,987.06
45.17,-14.59,983.58
29.42,-13.61,983.58
31.62,-13.49,985.35
30.27,-11.54,982.97
30.88,-12.45,985.35
31.92,-13.49,984.56
30.82,-14.10,984.31
29.24,-12.39,983.46
30.82,-12.39,984.50
31.07,-13.79,984.92
30.27,-16.36,984.25
29.72,-13.06,984.86
32.17,-13.24,988.10
29.36,-12.57,983.58
29.30,-12.88,983.89
29.97,-14.34,984.07
31.62,-14.34,986.21
30.70,-11.84,985.17
30.70,-14.22,985.29
31.07,-15.75,982.48
30.15,-14.77,983.83
30.09,-12.94,984.92
30.76,-13.92,983.58
31.13,-13.98,986.57
32.47,-13.61,982.36
31.25,-14.22,984.25
30.33,-13.92,984.50
30.46,-12.39,984.92
30.82,-14.22,985.60
31.86,-14.04,983.70
30.88,-14.65,982.97
29.11,-13.61,985.41
30.76,-13.06,982.91
30.82,-13.18,984.50
30.76,-14.10,985.84
31.92,-13.85,984.56
31.80,-13.06,984.86
31.07,-12.57,985.29
29.72,-12.76,984.99
30.82,-13.24,984.86
29.85,-14.47,983.46
31.68,-11.47,984.99
30.21,-13.31,984.80
32.84,-13.12,983.70
30.64,-14.40,986.39
30.82,-15.08,986.27
28.99,-10.44,984.07
32.29,-12.70,987.12
28.99,-12.76,984.74
32.47,-13.92,982.85
32.90,-13.98,984.19
30.40,-13.31,986.02
30.94,-14.40,986.33
30.27,-13.98,985.41
32.23,-11.66,985.23
33.33,-12.57,986.21
30.58,-12.45,983.95
30.33,-13.55,983.46
33.75,-15.01,983.34
32.59,-11.23,986.57
30.03,-13.43,986.33
30.21,-13.98,981.69
31.13,-12.76,984.19
31.49,-14.16,985.78
30.94,-13.67,984.86
31.07,-13.00,986.82
31.01,-13.79,982.73
29.85,-12.15,984.56
30.88,-12.33,984.13
27.83,-13.73,984.74
31.43,-14.59,985.72
31.07,-14.04,986.02
32.17,-11.96,985.29
32.04,-11.96,983.76
31.25,-14.04,984.92
31.01,-11.05,984.62
29.42,-11.60,985.41
30.09,-14.04,985.60
30.09,-13.49,984.44
30.58,-14.77,984.56
32.41,-13.73,984.44
29.91,-14.04,985.66
32.41,-13.98,983.83
30.46,-13.37,987.06
31.86,-13.85,986.21
30.27,-14.34,984.44
32.71,-10.25,985.60
30.82,-11.90,984.31
30.09,-14.83,981.87
30.76,-14.22,983.15
28.87,-11.60,984.31
31.80,-10.56,983.03
32.90,-14.95,985.78
31.19,-13.00,983.09
30.21,-14.53,984.74
31.13,-12.94,985.96
31.74,-13.37,986.69
30.82,-13.67,984.56
31.92,-12.02,983.70
31.49,-10.07,986.02
32.41,-12.33,986.15
31.37,-13.67,984.86
30.52,-14.40,984.86
31.56,-13.06,983.58
31.13,-13.92,984.13
31.07,-14.53,985.05
29.30,-12.21,983.89
28.63,-13.37,986.15
31.07,-11.47,983.83
31.19,-13.73,985.11
31.92,-13.24,984.07
31.37,-14.59,983.58
32.35,-13.24,983.64
32.35,-14.16,984.07
31.31,-13.85,985.05
29.30,-13.24,985.11
30.70,-13.37,984.68
30.27,-13.92,985.11
31.13,-12.39,985.11
30.88,-13.06,985.66
28.32,-15.08,984.62
29.24,-15.81,984.44
30.27,-13.61,983.64
31.80,-12.76,984.74
32.04,-13.06,985.53
27.83,-13.00,984.44
30.27,-13.37,983.03
32.35,-13.79,985.35
30.27,-13.98,984.86
31.68,-13.79,984.50
34.06,-11.72,984.25
31.31,-12.94,983.76
29.79,-13.49,984.74
31.56,-14.16,983.89
30.09,-12.27,984.74
30.88,-12.39,983.89
30.94,-12.88,982.85
31.49,-12.02,987.06
30.09,-15.20,982.67
29.54,-14.16,984.86
30.70,-13.98,983.46
33.75,-12.82,986.51
31.37,-14.10,984.07
30.21,-14.10,984.25
31.56,-14.47,984.44
30.09,-13.18,984.92
30.46,-13.31,982.54
30.46,-12.08,984.68
30.52,-13.12,983.03
32.04,-11.72,984.86
30.76,-10.62,984.37
30.94,-13.43,986.27
31.25,-12.33,985.35
31.19,-15.87,984.99
30.52,-13.18,984.99
31.92,-11.84,984.99
30.94,-13.55,985.17
30.21,-13.06,982.73
31.31,-12.45,983.34
29.42,-14.16,984.62
31.13,-12.08,981.87
32.53,-12.33,984.62
30.52,-13.00,984.62
32.59,-14.95,986.33
31.19,-12.94,985.90
31.56,-12.94,985.96
31.37,-13.37,985.17
31.31,-13.79,984.01
31.74,-12.82,983.15
30.15,-13.85,984.19
30.82,-13.24,984.86
30.58,-13.49,986.02
30.58,-12.94,984.50
31.74,-12.70,986.76
31.01,-12.94,983.09
31.07,-14.22,985.29
29.72,-13.43,985.11
30.09,-12.15,983.70
32.41,-11.78,983.46
31.19,-13.00,985.78
31.19,-13.43,985.11
30.70,-13.06,984.31
32.29,-12.88,982.67
31.56,-13.18,986.08
31.07,-12.33,983.95
30.88,-13.24,984.68
30.58,-13.43,982.91
30.40,-12.76,984.86
30.52,-11.96,984.74
31.68,-13.61,984.01
32.04,-12.63,982.54
30.33,-11.72,986.94
30.94,-13.18,985.66
31.56,-13.73,984.80
30.58,-13.61,984.68
32.10,-13.85,984.50
33.02,-13.92,984.74
30.58,-14.89,984.07
33.14,-14.28,984.80
31.86,-11.60,983.22
30.94,-12.76,985.05
31.07,-12.57,983.09
30.15,-15.14,985.11
28.93,-13.67,983.09
29.85,-14.16,984.01
31.07,-14.40,984.07
30.88,-13.18,986.39
29.30,-12.27,982.85
32.78,-11.84,984.31
32.35,-14.77,985.78
30.82,-14.16,984.37
30.52,-13.98,984.25
31.68,-12.82,983.34
29.66,-15.26,985.23
30.33,-17.94,982.60
32.84,-13.67,986.76
30.88,-15.08,985.78
30.33,-13.79,984.80
31.07,-14.47,984.19
31.86,-14.10,987.61
31.37,-12.33,984.13
30.09,-13.00,982.91
32.78,-14.95,984.37
32.47,-13.24,983.95
31.25,-13.06,984.37
31.80,-12.82,985.05
30.09,-13.49,984.56
30.03,-13.79,985.90
29.66,-13.37,983.83
32.29,-11.96,984.74
31.86,-13.98,984.31
30.94,-13.06,984.25
29.54,-13.06,982.60
31.92,-13.55,983.40
31.07,-14.40,985.47
30.76,-13.12,984.99
29.85,-10.86,984.25
30.94,-13.12,984.86
30.46,-15.75,984.99
28.38,-14.16,983.52
31.92,-13.98,982.85
32.04,-12.57,984.86
31.62,-13.61,984.19
32.04,-15.56,984.31
31.31,-14.16,985.47
30.58,-13.98,986.02
30.76,-11.66,985.78
33.14,-12.39,986.08
31.25,-12.08,983.28
30.76,-14.22,984.13
31.31,-12.39,982.73
30.15,-14.22,986.39
31.37,-14.83,986.08
30.27,-14.34,985.60
29.54,-13.18,983.34
32.23,-12.33,984.68
31.19,-13.24,984.86
31.31,-11.84,983.15
30.52,-12.82,986.27
29.66,-14.16,985.96
29.30,-12.82,986.57
31.43,-12.88,984.62
31.07,-13.92,986.08
31.80,-13.12,985.90
31.01,-12.21,983.95
31.62,-14.89,983.89
32.29,-12.27,984.37
30.33,-12.88,984.86
30.27,-14.04,984.92
33.14,-14.95,983.70
30.40,-12.88,986.94
29.05,-13.55,986.51
31.62,-12.94,985.66
32.29,-14.22,982.91
31.25,-16.36,986.63
30.46,-14.53,983.95
30.64,-12.02,986.33
31.25,-13.24,984.50
32.71,-13.55,984.50
31.43,-12.51,982.12
31.19,-13.98,984.31
30.76,-13.67,984.13
30.33,-11.47,986.21
32.65,-13.06,984.68
30.27,-13.31,985.17
31.25,-12.39,984.92
30.82,-13.37,984.92
29.36,-12.57,987.18
31.49,-12.08,984.13
30.94,-14.53,984.92
32.41,-12.51,982.36
30.76,-14.16,984.80
28.87,-14.16,983.83
32.41,-14.89,984.80
31.86,-13.37,984.68
30.40,-13.12,984.07
30.33,-13.12,986.51
29.91,-13.55,983.58
30.58,-13.98,987.49
30.64,-13.43,984.74
30.70,-11.29,985.41
29.91,-12.82,985.78
30.58,-14.65,984.99
30.33,-12.27,983.89
30.15,-13.61,985.05
30.27,-13.85,985.29
32.23,-12.76,983.89
30.33,-15.38,986.45
32.17,-14.34,983.58
29.54,-12.76,984.37
30.15,-15.56,986.63
31.49,-14.10,982.73
30.70,-12.02,984.44
30.88,-12.57,985.35
29.36,-14.28,983.70
31.74,-13.24,985.78
29.17,-13.00,985.05
30.27,-14.34,982.30
31.56,-10.93,984.37
28.93,-10.74,984.56
30.88,-13.98,985.41
30.70,-14.34,986.33
31.01,-12.27,983.83
30.64,-13.12,985.35
30.21,-14.28,984.56
30.33,-14.34,985.53
30.46,-15.81,985.05
32.17,-12.70,984.01
32.35,-13.31,985.53
31.80,-14.22,986.39
29.91,-13.79,987.30
29.60,-10.44,983.15
31.98,-12.82,984.31
31.56,-16.30,983.95
30.15,-11.60,982.91
30.46,-12.76,984.37
32.59,-12.82,985.11
28.63,-15.44,984.50
31.56,-14.04,983.34
31.86,-11.05,986.39
31.56,-12.27,984.80
30.27,-13.73,986.94
31.86,-12.63,985.84
28.69,-11.54,984.37
29.66,-15.32,983.58
30.58,-15.26,985.11
31.31,-12.33,984.80
29.36,-11.41,982.85
28.99,-13.00,984.86
31.01,-12.70,984.56
31.31,-13.98,985.17
30.88,-12.63,986.94
29.97,-14.40,984.62
31.43,-11.78,983.22
30.52,-12.63,983.83
30.09,-12.57,982.36
31.92,-14.59,984.31
30.52,-13.98,983.40
30.03,-12.57,983.34
30.88,-11.05,984.07
31.49,-13.49,982.67
30.70,-14.04,985.66
30.64,-14.71,985.47
30.82,-12.57,984.31
31.43,-14.34,983.09
30.88,-13.43,983.83
30.46,-12.70,984.80
32.10,-13.00,985.72
29.48,-14.59,983.03
31.01,-10.99,985.60
31.37,-10.44,985.05
31.80,-15.56,983.83
30.82,-13.98,985.23
30.15,-13.85,986.08
31.62,-13.18,983.89
31.19,-12.76,984.99
30.58,-12.15,986.08
30.58,-13.43,986.15
29.42,-12.70,983.03
30.27,-11.11,984.92
30.94,-14.40,985.35
31.86,-12.33,982.79
31.43,-13.73,985.17
30.09,-13.61,986.69
31.80,-13.49,984.74
30.40,-14.22,985.90
30.52,-12.15,985.17
30.70,-13.24,986.76
30.03,-12.02,983.22
30.82,-13.37,982.48
31.43,-12.45,985.96
30.70,-12.51,984.31
30.76,-14.77,984.68
33.20,-14.53,984.74
28.50,-11.84,985.78
30.40,-13.98,984.25
29.11,-12.33,982.97
30.52,-12.08,985.47
30.33,-11.90,984.99
32.29,-11.35,984.50
32.10,-12.45,984.92
30.82,-14.47,983.58
30.40,-14.77,983.95
30.15,-11.41,984.31
33.51,-12.94,985.23
32.04,-13.24,985.60
31.31,-14.53,983.89
31.19,-14.10,985.53
29.97,-12.02,984.80
31.92,-11.72,985.66
31.43,-12.45,984.68
29.60,-13.31,984.92
29.79,-12.88,984.01
32.04,-11.96,984.56
29.17,-14.95,985.05
30.27,-11.05,985.96
30.27,-13.85,983.52
31.19,-13.18,983.76
31.80,-12.70,999.76
30.03,-12.70,983.28
30.76,-14.04,984.07
31.98,-13.43,982.97
29.91,-12.51,985.60
31.01,-12.76,984.92
32.23,-13.79,984.56
31.25,-12.88,985.78
29.36,-14.95,985.53
30.27,-13.06,985.60
30.88,-11.90,984.44
31.56,-11.66,984.56
30.70,-13.79,985.96
31.01,-13.92,986.33
30.40,-14.28,984.25
31.43,-13.12,983.64
31.07,-13.12,985.41
30.88,-15.38,984.80
32.90,-13.85,983.64
31.49,-13.43,983.09
29.11,-15.26,985.47
31.49,-15.32,984.01
30.09,-12.51,984.44
30.15,-11.60,983.89
46.33,-11.96,983.52
30.76,-13.98,984.01
30.27,-13.18,985.17
30.76,-13.12,983.76
31.25,-11.60,985.17
30.21,-14.65,983.95
32.65,-13.79,984.37
30.27,-13.06,981.69
29.48,-13.61,986.51
29.79,-12.08,984.37
31.43,-13.24,984.19
31.92,-12.39,985.11
31.25,-11.96,984.37
31.07,-13.55,985.41
30.76,-13.49,984.86
30.27,-13.55,984.37
31.37,-14.04,986.02
30.40,-13.61,985.53
31.86,-13.98,984.07
31.92,-14.28,987.18
31.37,-15.75,982.73
29.42,-15.01,984.56
28.99,-12.76,983.95
30.64,-11.29,983.95
31.37,-14.28,983.40
33.02,-13.98,985.29
31.68,-12.63,983.95
31.31,-12.70,985.35
31.01,-14.83,985.11
28.63,-13.49,983.70
31.19,-13.92,980.77
31.19,-11.78,983.83
31.13,-11.23,984.68
30.15,-13.61,984.13
30.94,-13.18,981.45
30.70,-12.02,984.31
29.72,-14.95,983.15
31.01,-12.39,987.43
31.74,-13.49,987.37
30.33,-13.98,985.23
30.58,-13.12,986.21
31.25,-11.72,985.23
29.48,-12.57,984.74
32.35,-12.33,983.22
30.88,-12.45,983.70
32.04,-16.24,983.34
30.09,-12.15,984.56
30.46,-13.61,984.07
31.19,-14.16,984.37
30.09,-11.90,985.23
31.43,-14.04,985.53
31.19,-11.90,983.03
30.33,-12.57,983.76
30.76,-13.31,984.92
31.74,-14.83,985.41
31.25,-12.94,984.19
32.23,-12.02,984.62
30.21,-13.73,985.47
30.09,-14.04,986.21
31.43,-12.33,983.22
32.96,-13.49,986.76
32.10,-13.24,984.25
31.86,-13.49,985.41
30.15,-13.61,986.33
30.33,-13.79,986.57
31.31,-13.00,986.33
31.80,-12.88,982.36
29.97,-14.28,983.22
31.01,-13.18,985.72
31.19,-13.55,982.48
31.68,-15.14,983.95
31.31,-12.51,985.66
31.07,-12.57,982.36
32.29,-14.40,984.44
32.35,-14.71,985.78
29.17,-13.49,983.70
31.07,-14.10,982.36
31.13,-13.12,985.53
31.92,-15.81,982.42
29.72,-13.06,983.83
31.07,-11.72,984.92
32.29,-14.59,987.12
30.27,-12.82,982.18
30.82,-10.56,986.02
30.46,-13.00,983.76
31.56,-13.06,984.92
29.60,-12.15,984.07
30.64,-13.85,985.60
28.99,-13.55,984.37
31.43,-12.76,985.72
30.64,-13.85,984.99
31.31,-13.18,985.66
31.86,-12.51,985.78
29.97,-12.88,983.34
30.52,-15.20,983.22
31.80,-12.76,986.63
31.92,-13.49,984.92
31.07,-14.53,985.05
31.80,-12.21,984.01
31.56,-12.39,984.56
29.60,-14.16,983.46
31.01,-13.55,984.99
30.03,-13.49,984.62
32.29,-14.40,985.72
31.56,-14.40,984.50
31.98,-11.54,983.83
29.97,-10.93,985.23
30.15,-14.83,983.03
29.60,-11.72,985.72
31.25,-12.51,985.60
32.78,-13.73,985.11
32.29,-13.79,987.12
29.66,-14.89,986.08
30.03,-13.00,985.05
32.10,-12.51,984.99
30.21,-14.16,984.31
30.27,-14.77,986.39
30.03,-13.79,985.72
30.27,-14.83,984.80
29.91,-14.65,985.84
30.46,-14.04,984.31
31.43,-11.66,985.05
32.96,-11.96,986.21
28.50,-12.51,986.45
30.70,-14.22,985.11
31.31,-13.37,984.99
31.19,-12.27,984.92
31.68,-12.57,984.19
31.31,-12.94,985.66
32.10,-13.18,986.02
30.70,-12.88,984.62
30.21,-13.67,985.66
31.25,-13.92,986.69
30.40,-12.82,984.99
29.85,-13.98,986.27
30.27,-12.33,984.13
32.17,-11.78,985.17
30.40,-14.71,983.34
29.24,-11.72,983.83
31.07,-12.39,985.96
31.13,-15.14,985.05
29.91,-13.73,983.89
31.37,-13.37,985.60
31.07,-13.18,986.39
30.03,-13.37,986.45
31.13,-12.51,982.73
30.76,-14.10,985.66
31.80,-13.92,985.53
29.97,-14.10,984.92
29.79,-14.65,986.94
31.01,-13.49,984.80
28.81,-13.06,987.92
31.37,-13.79,985.29
32.53,-12.57,984.99
31.01,-12.63,984.13
32.59,-13.98,984.44
30.76,-13.00,984.92
29.91,-11.84,984.37
31.37,-13.73,983.34
32.53,-11.17,984.13
32.04,-13.61,984.99
31.43,-13.67,987.18
31.13,-12.15,984.13
30.70,-11.72,984.31
31.25,-15.08,985.11
30.88,-12.70,985.66
30.64,-11.90,985.60
31.74,-12.02,984.99
32.29,-13.00,985.23
30.27,-15.93,983.95
30.46,-11.66,983.83
32.17,-11.05,984.19
31.07,-13.61,983.09
29.97,-13.67,983.89
30.70,-12.39,984.50
29.66,-11.90,984.07
31.74,-11.96,984.62
30.70,-13.06,985.60
30.76,-13.37,984.44
31.07,-12.27,983.46
30.03,-12.02,984.74
31.80,-13.31,985.17
29.97,-11.66,984.13
29.17,-13.37,982.67
31.43,-13.24,983.58
31.62,-13.12,984.13
33.51,-11.78,982.30
29.30,-13.61,984.44
30.58,-13.37,985.23
32.53,-14.83,985.78
29.60,-12.88,982.91
30.70,-12.88,984.92
32.23,-14.34,985.23
30.88,-13.06,984.31
30.76,-12.08,982.67
29.54,-13.67,983.76
31.25,-13.98,984.37
30.88,-12.88,987.43
31.07,-13.61,985.35
31.25,-10.44,984.13
32.47,-12.63,985.66
29.42,-12.33,984.86
31.62,-12.15,984.92
32.29,-13.98,985.17
29.91,-13.79,984.13
32.59,-13.37,984.56
30.40,-12.39,983.76
31.13,-13.24,983.95
32.96,-13.18,983.58
31.56,-13.67,983.76
29.66,-12.88,985.05
32.96,-13.06,982.85
30.64,-13.49,986.02
30.70,-11.84,985.35
30.58,-13.67,984.86
32.96,-12.51,986.45
30.40,-15.56,983.58
31.19,-13.06,983.83
31.25,-12.82,986.27
29.36,-14.83,986.02
31.07,-13.00,986.02
29.66,-13.37,983.22
30.15,-10.56,986.39
29.05,-11.96,983.95
31.07,-12.02,984.86
31.92,-14.53,982.73
31.56,-13.67,985.11
31.80,-12.76,984.74
30.70,-13.24,984.31
31.98,-12.39,984.74
32.10,-12.39,984.68
30.33,-13.31,984.44
31.86,-14.59,984.01
31.92,-13.73,985.41
30.03,-12.57,982.36
30.27,-13.24,983.83
30.76,-12.70,986.27
31.31,-11.17,984.68
32.04,-12.45,984.62
32.84,-13.06,984.86
30.76,-15.01,984.74
29.91,-11.60,982.91
31.31,-13.67,983.09
30.03,-14.16,985.78
31.13,-12.27,984.07
32.78,-12.45,983.83
29.11,-11.84,984.01
31.49,-11.84,985.53
31.07,-12.51,985.66
29.54,-14.04,983.70
31.37,-13.73,985.47
31.19,-13.73,985.84
30.82,-13.24,985.23
30.09,-13.79,984.25
31.31,-12.88,983.76
31.25,-14.53,982.79
31.37,-13.79,986.33
30.58,-12.51,984.37
29.85,-12.63,983.09
29.97,-12.76,983.70
29.79,-11.84,987.24
31.68,-12.94,983.52
30.52,-14.89,986.33
31.07,-13.49,985.66
30.88,-13.31,983.95
29.72,-13.85,986.88
29.72,-13.24,985.60
30.40,-13.98,983.52
30.46,-12.70,984.37
31.37,-12.08,984.25
31.31,-12.82,983.46
30.70,-12.82,984.56
30.64,-10.50,986.15
30.27,-14.83,984.74
29.30,-13.18,986.57
32.65,-13.55,985.05
29.48,-12.45,984.07
30.33,-12.63,984.86
30.27,-13.43,984.31
31.43,-13.92,984.62
29.85,-12.45,984.25
30.64,-11.17,983.46
31.74,-12.70,983.28
31.56,-15.87,984.07
29.17,-12.21,984.56
29.72,-12.02,985.60
30.64,-13.37,984.19
31.98,-14.04,968.87
29.42,-11.72,982.48
31.49,-13.98,983.34
30.64,-12.76,984.56
27.95,-10.99,983.28
30.88,-12.76,982.73
29.91,-12.88,983.76
32.47,-11.41,983.64
30.27,-13.55,986.15
29.79,-12.39,984.62
31.43,-9.46,985.05
32.29,-13.73,987.06
29.17,-13.12,984.01
31.62,-13.92,984.13
29.36,-12.70,984.68
30.88,-12.21,984.68
30.82,-10.62,986.21
30.40,-12.82,985.35
31.74,-12.21,985.11
31.31,-11.60,983.34
32.47,-13.92,983.09
28.75,-12.21,984.13
31.68,-13.98,984.99
30.27,-11.05,985.53
46.81,-14.71,986.88
31.43,-13.49,983.83
32.71,-13.37,981.51
31.19,-13.67,983.58
31.62,-12.21,984.80
31.01,-13.00,985.72
30.27,-14.83,984.62
31.56,-12.21,984.56
30.88,-12.82,983.09
30.09,-13.61,987.49
29.91,-12.94,986.76
31.92,-13.98,984.56
32.04,-12.45,984.01
31.13,-12.02,984.31
31.37,-12.02,984.19
30.15,-15.20,969.24
30.58,-14.16,983.83
30.94,-11.72,982.91
30.15,-12.94,984.62
32.71,-11.23,983.76
29.85,-14.59,985.23
31.07,-15.20,983.22
31.56,-15.14,984.37
30.70,-12.70,986.08
31.37,-13.06,984.37
30.82,-13.67,984.19
29.54,-13.85,986.15
30.64,-13.73,982.67
33.33,-13.67,986.39
29.97,-14.77,984.13
