x,y,z
29.85,-13.37,984.99
33.08,-12.21,984.92
32.96,-13.49,983.76
31.25,-13.00,984.25
28.87,-14.65,984.62
31.56,-13.12,986.33
31.13,-12.51,984.07
31.25,-14.83,984.07
29.36,-11.35,986.51
31.37,-14.22,986.51
29.24,-11.66,986.08
31.74,-12.45,984.25
32.47,-13.31,983.83
31.01,-12.63,983.89
30.46,-13.85,982.91
31.19,-12.57,985.96
29.97,-11.41,985.17
31.31,-11.66,985.23
31.49,-14.89,983.22
31.92,-14.28,985.41
30.46,-12.94,986.02
30.76,-13.61,983.03
31.13,-13.43,985.53
30.76,-12.57,984.68
29.97,-10.74,985.84
30.15,-12.15,983.58
30.40,-13.37,985.84
31.13,-12.39,984.50
29.30,-12.33,984.74
31.37,-11.41,981.08
31.62,-10.86,985.90
31.19,-12.63,985.66
31.13,-13.06,984.80
31.07,-14.77,986.27
31.07,-14.59,986.57
28.81,-11.60,985.11
31.37,-11.72,984.13
30.76,-14.16,985.47
31.31,-13.06,983.15
31.49,-15.93,984.62
29.79,-12.82,984.80
31.01,-14.16,984.07
30.09,-14.22,982.97
30.82,-12.45,984.86
30.82,-12.27,986.08
30.64,-13.61,985.90
30.46,-12.08,983.64
30.09,-13.55,982.91
30.76,-12.21,982.79
31.98,-12.88,982.97
32.35,-12.51,985.47
30.94,-12.82,985.78
30.70,-13.61,986.33
31.07,-11.78,984.50
31.49,-11.72,986.02
30.70,-12.39,983.28
31.13,-12.45,986.08
16.66,-11.78,984.68
30.70,-14.77,983.64
30.76,-13.92,986.08
31.19,-15.32,983.58
31.13,-12.88,986.21
30.15,-14.71,984.92
32.71,-11.66,984.25
31.49,-13.18,982.60
31.92,-15.14,984.92
29.36,-14.71,986.02
29.17,-10.01,985.90
30.76,-11.78,984.68
31.31,-13.24,982.97
32.04,-13.98,983.83
30.52,-13.55,982.85
30.88,-14.34,983.70
31.19,-11.96,984.19
32.04,-13.79,984.92
30.76,-13.92,986.76
30.33,-11.29,984.62
28.99,-13.49,984.19
31.62,-13.49,985.23
33.20,-12.08,984.62
30.82,-13.61,985.23
31.37,-12.94,984.92
30.46,-12.57,983.89
30.52,-13.06,986.45
30.03,-14.65,983.15
29.85,-14.04,982.97
30.46,-12.82,982.54
30.27,-12.27,982.91
32.10,-13.79,983.52
29.42,-13.61,984.13
32.10,-14.83,985.35
31.07,-12.76,985.60
31.49,-11.54,984.50
29.60,-13.61,983.46
32.78,-13.24,983.46
30.03,-12.27,984.19
30.09,-13.55,986.94
31.56,-14.77,984.31
30.58,-13.00,983.89
31.37,-12.27,986.63
30.46,-12.88,985.72
29.91,-12.39,983.64
31.25,-11.90,984.68
29.48,-11.84,984.68
29.66,-13.55,984.62
30.82,-13.55,984.92
32.35,-13.85,985.17
31.49,-12.27,984.92
31.80,-13.49,983.40
32.59,-13.55,985.84
32.10,-11.72,984.68
30.33,-12.88,985.17
29.24,-13.43,984.50
29.91,-14.53,982.60
30.58,-14.28,983.76
31.74,-12.08,984.25
31.25,-12.63,985.29
32.35,-13.67,986.76
31.13,-12.33,986.08
30.03,-13.61,985.78
32.23,-13.55,984.25
31.13,-13.85,984.68
30.82,-14.04,984.86
31.98,-12.63,985.47
30.15,-13.37,983.64
30.09,-11.66,985.29
31.43,-13.31,986.33
30.52,-14.89,985.78
31.86,-13.00,984.25
31.86,-11.11,985.29
31.19,-12.02,984.31
30.40,-12.45,986.08
30.09,-12.76,984.92
30.88,-14.59,983.34
30.82,-12.94,984.99
31.19,-13.37,985.11
29.91,-11.05,984.13
31.80,-12.70,987.00
31.31,-12.21,986.15
32.65,-13.85,985.23
31.13,-13.67,985.53
31.13,-13.61,986.21
30.15,-13.49,985.35
30.58,-13.12,983.64
31.68,-14.04,985.47
30.27,-13.24,983.83
30.40,-12.88,984.62
31.80,-12.39,984.37
31.01,-13.24,985.05
32.10,-13.79,987.30
30.94,-12.08,984.62
31.62,-15.38,984.44
30.82,-12.27,984.80
29.85,-11.66,984.31
31.43,-13.73,985.17
29.11,-14.83,985.72
31.37,-13.98,986.15
31.43,-12.88,984.74
32.29,-14.65,983.34
30.64,-12.88,985.47
28.81,-12.51,984.92
31.92,-14.10,984.19
31.68,-13.85,985.35
30.27,-11.90,987.30
29.85,-13.00,985.47
31.37,-14.95,985.05
30.40,-11.90,985.72
30.82,-12.15,985.17
30.88,-12.45,987.06
33.33,-12.51,985.05
32.35,-12.63,985.29
31.01,-14.83,984.99
30.09,-11.23,984.31
31.98,-13.00,985.60
32.29,-12.39,986.02
32.17,-13.73,987.06
30.27,-13.24,984.07
30.76,-12.82,986.02
31.31,-12.88,985.11
30.82,-11.96,983.70
27.10,-15.69,984.19
32.17,-12.70,983.70
31.92,-14.04,983.28
30.15,-12.45,984.50
30.33,-14.83,986.08
29.97,-13.18,985.05
32.35,-13.67,986.39
30.64,-12.63,984.01
29.97,-11.11,983.46
29.17,-12.15,983.58
30.33,-14.22,984.19
31.19,-13.79,983.52
31.62,-13.24,986.02
30.76,-12.21,984.25
30.94,-11.47,981.93
28.99,-12.82,983.83
31.56,-13.55,986.51
30.58,-13.79,984.80
32.41,-14.04,982.79
30.82,-12.21,985.29
30.88,-13.98,984.19
29.24,-13.92,983.89
29.85,-13.24,983.03
31.62,-12.76,984.01
29.91,-13.98,986.33
28.14,-12.94,984.31
29.05,-13.61,983.46
29.60,-13.79,987.18
31.31,-14.22,985.23
29.17,-13.24,984.86
29.79,-14.47,985.11
30.40,-15.01,982.42
33.02,-15.08,982.79
30.58,-14.04,984.86
30.03,-13.98,983.76
30.46,-13.61,983.89
32.71,-13.43,984.25
30.58,-12.27,984.99
32.17,-13.37,983.70
31.43,-14.83,983.09
31.25,-12.94,983.64
30.15,-11.78,983.34
31.25,-12.94,984.62
32.04,-13.98,983.89
31.68,-14.95,983.52
29.85,-14.47,985.35
29.97,-13.55,985.29
32.41,-13.61,984.13
31.07,-13.79,983.83
30.76,-12.63,984.07
31.07,-13.85,982.67
32.23,-13.31,986.08
31.62,-13.06,987.30
28.99,-12.21,984.01
32.35,-13.24,983.89
32.17,-13.61,983.09
29.79,-13.31,983.95
29.91,-12.21,982.12
31.74,-14.16,985.23
32.59,-12.88,982.18
28.75,-12.45,984.62
30.15,-12.27,984.86
30.21,-14.04,985.11
31.37,-13.67,985.60
30.70,-15.93,982.97
28.56,-13.06,987.24
33.51,-14.89,984.68
30.52,-13.55,984.25
30.21,-13.12,983.46
31.68,-13.00,984.62
30.33,-15.08,985.17
30.82,-14.40,984.25
30.58,-14.22,984.92
30.88,-14.16,985.78
29.91,-12.51,984.68
31.56,-14.47,983.03
30.09,-11.84,983.28
30.03,-14.89,982.30
30.88,-12.02,985.96
32.59,-13.98,984.74
30.82,-14.65,984.50
31.56,-13.18,985.29
31.07,-12.70,985.17
30.21,-13.37,984.86
32.17,-12.63,985.84
32.23,-11.78,983.34
30.21,-13.49,984.80
46.63,-13.61,984.86
31.01,-12.57,984.62
31.43,-13.98,983.15
29.79,-12.33,983.22
30.64,-15.75,984.80
32.96,-12.94,983.28
32.47,-14.34,987.00
31.07,-12.94,985.35
30.70,-12.39,984.44
28.99,-13.31,984.68
29.48,-12.82,983.89
31.80,-13.31,986.51
33.02,-13.79,986.51
29.85,-12.70,984.86
29.54,-13.24,984.56
30.33,-12.88,986.21
31.25,-14.34,984.80
30.88,-12.76,983.52
30.88,-13.24,985.05
31.13,-12.76,987.00
29.60,-13.31,985.35
30.40,-11.41,985.84
33.08,-11.90,985.23
32.35,-12.82,984.74
31.92,-14.34,985.53
30.40,-13.98,985.53
29.60,-13.92,985.11
