timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1512178125.618200,-0.084546,0.380482,0.332847,0.104293,0.077123,-0.072578,-0.078406,-0.371368,-0.925169,0.001502,0.000458,-0.014772,30.573841,12.210251,-23.421967,,,,,,,
1512178125.638189,-0.084363,0.384576,0.332319,0.248263,-0.047741,-0.016555,-0.078109,-0.375167,-0.923661,0.037978,-0.000993,-0.045913,30.195469,11.459686,-23.419113,,,,,,,
1512178125.658209,-0.086899,0.389949,0.333140,0.272150,-0.123619,0.017639,-0.080275,-0.380141,-0.921438,-0.007357,0.008696,-0.002359,29.968281,11.009354,-23.717407,,,,,,,
1512178125.678198,-0.089391,0.394926,0.333290,0.224204,-0.094721,-0.046917,-0.082401,-0.384740,-0.919339,-0.013318,0.017308,0.045591,29.968662,11.084351,-23.642380,,,,,,,
1512178125.698187,-0.089237,0.398431,0.331873,0.139779,0.014200,-0.093601,-0.082138,-0.387972,-0.918003,-0.018692,0.000765,0.044148,29.965473,10.409348,-23.942688,,,,,,,
1512178125.718206,-0.087681,0.400426,0.329883,0.069548,0.049361,-0.098757,-0.080641,-0.389811,-0.917357,-0.010896,0.001887,0.041457,29.813419,9.959122,-24.016617,,,,,,,
1512178125.738195,-0.085411,0.401192,0.327961,0.024618,0.080243,-0.088643,-0.078533,-0.390516,-0.917240,0.008495,-0.008562,0.022663,29.735004,9.209000,-24.091324,,,,,,,
1512178125.758215,-0.083617,0.402311,0.326677,0.076082,0.064204,-0.043182,-0.076851,-0.391546,-0.916943,0.009118,-0.004343,0.015347,30.040394,10.334457,-23.418365,,,,,,,
1512178125.778204,-0.082671,0.404783,0.326697,0.149962,0.050345,0.001550,-0.075903,-0.393819,-0.916049,0.001349,0.012807,0.014132,30.190327,10.334686,-23.569626,,,,,,,
1512178125.798193,-0.081380,0.408456,0.326913,0.194002,0.075021,-0.016913,-0.074603,-0.397193,-0.914698,-0.000943,0.030341,0.012537,30.413609,9.960022,-23.646729,,,,,,,
1512178125.818212,-0.079419,0.412223,0.326063,0.176857,0.083656,-0.075764,-0.072690,-0.400647,-0.913344,-0.002201,0.027234,0.000472,30.340366,10.334900,-23.495911,,,,,,,
1512178125.838201,-0.076950,0.415947,0.324154,0.183895,0.089087,-0.114020,-0.070319,-0.404057,-0.912027,-0.013452,0.016178,0.022363,30.714359,10.110458,-23.499207,,,,,,,
