timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1512178564.002493,-0.048824,0.427792,1.656283,0.002755,0.034954,-0.032233,-0.044406,-0.414863,-0.908800,0.021625,-0.027032,0.066301,-12.492355,-41.615211,-39.841545,,,,,,,
1512178564.022482,-0.047156,0.426994,1.656092,-0.067137,0.104195,0.006435,-0.042906,-0.414137,-0.909203,0.026167,-0.016741,0.053673,-12.494095,-41.990211,-39.916725,,,,,,,
1512178564.042471,-0.045371,0.425188,1.656576,-0.098565,0.078455,0.036809,-0.041317,-0.412492,-0.910024,0.025417,-0.001632,-0.000514,-12.492477,-41.615211,-40.066551,,,,,,,
1512178564.062491,-0.044678,0.423541,1.657257,-0.069803,0.034705,0.036007,-0.040716,-0.410991,-0.910730,0.023688,0.012095,-0.037802,-12.494949,-42.140221,-40.291801,,,,,,,
1512178564.082480,-0.044471,0.423385,1.657872,0.017754,0.018833,0.026559,-0.040531,-0.410849,-0.910802,0.015049,0.013663,-0.043712,-12.490860,-41.240211,-40.216377,,,,,,,
1512178564.102469,-0.043817,0.424466,1.658194,0.052230,0.046706,0.006905,-0.039916,-0.411834,-0.910384,0.015502,0.021209,-0.034120,-12.493454,-41.840218,-39.991661,,,,,,,
1512178564.122488,-0.042929,0.425609,1.658153,0.060939,0.028577,-0.005829,-0.039087,-0.412876,-0.909948,0.022913,0.022297,-0.047327,-12.192703,-41.689766,-39.844139,,,,,,,
1512178564.142477,-0.043008,0.427374,1.658089,0.117352,-0.031158,-0.003086,-0.039128,-0.414483,-0.909216,0.032963,0.022698,-0.048884,-12.273102,-42.889885,-39.844048,,,,,,,
1512178564.162466,-0.043608,0.430375,1.658242,0.170598,-0.017199,0.000932,-0.039619,-0.417212,-0.907945,0.020652,0.021887,-0.010649,-12.047653,-42.814552,-39.620934,,,,,,,
1512178564.182486,-0.043701,0.433191,1.658284,0.124935,-0.005499,-0.009283,-0.039652,-0.419769,-0.906764,0.019541,0.027542,0.015422,-12.499527,-43.190224,-39.992287,,,,,,,
1512178564.202475,-0.043808,0.434526,1.657922,0.040889,-0.018423,-0.020140,-0.039725,-0.420980,-0.906200,0.013663,0.034841,0.020625,-11.894989,-42.289314,-39.021980,,,,,,,
1512178564.222464,-0.043690,0.434536,1.656969,-0.003252,-0.025893,-0.059185,-0.039617,-0.420990,-0.906200,0.008962,0.051483,0.001583,-11.969650,-42.214439,-39.021294,,,,,,,
1512178564.242484,-0.043342,0.434535,1.654952,0.015592,-0.030047,-0.102632,-0.039302,-0.420988,-0.906214,0.018245,0.066435,-0.020147,-11.671631,-42.663994,-38.949059,,,,,,,
1512178564.262473,-0.042708,0.435770,1.652255,0.089670,-0.026671,-0.134598,-0.038705,-0.422108,-0.905719,0.019174,0.069279,-0.025495,-11.369461,-42.213539,-38.651405,,,,,,,
1512178564.282462,-0.041980,0.438085,1.649119,0.121914,-0.042604,-0.150172,-0.038004,-0.424206,-0.904768,0.035975,0.065289,-0.022768,-11.147018,-42.813210,-38.353584,,,,,,,
1512178564.302481,-0.041603,0.440715,1.645908,0.142083,-0.055408,-0.146731,-0.037617,-0.426587,-0.903664,0.040150,0.051022,-0.004096,-11.298843,-43.188423,-38.652489,,,,,,,
1512178564.322470,-0.041646,0.443109,1.643003,0.108776,-0.073644,-0.131284,-0.037613,-0.428751,-0.902640,0.040131,0.050699,0.011923,-11.068527,-42.063087,-38.128883,,,,,,,
1512178564.342459,-0.041868,0.444513,1.639988,0.060989,-0.071553,-0.141560,-0.037788,-0.430018,-0.902029,0.032661,0.052638,0.033850,-10.996216,-42.662987,-38.129799,,,,,,,
1512178564.362479,-0.041403,0.444632,1.636905,-0.018922,-0.044973,-0.143694,-0.037366,-0.430126,-0.901995,0.033628,0.051998,0.038943,-10.547241,-42.887306,-38.133720,,,,,,,
1512178564.382468,-0.040872,0.443315,1.633453,-0.081688,-0.076028,-0.153241,-0.036911,-0.428937,-0.902580,0.041763,0.061398,0.002907,-10.320175,-42.436974,-38.060432,,,,,,,
1512178564.402457,-0.041231,0.442102,1.629606,-0.042964,-0.105838,-0.176239,-0.037257,-0.427840,-0.903086,0.030329,0.058867,-0.006765,-10.096100,-42.661629,-37.912437,,,,,,,
1512178564.422476,-0.040784,0.441972,1.625373,0.005496,-0.048022,-0.201983,-0.036855,-0.427722,-0.903158,0.015401,0.067005,0.002829,-10.022156,-42.886513,-37.988182,,,,,,,
1512178564.442465,-0.038977,0.442222,1.620338,0.001820,-0.006304,-0.236007,-0.035218,-0.427948,-0.903117,0.020814,0.063080,0.004115,-9.720016,-42.436073,-37.765526,,,,,,,
1512178564.462454,-0.036738,0.442106,1.615278,-0.014484,0.001108,-0.217029,-0.033198,-0.427844,-0.903243,0.025584,0.043002,-0.008836,-9.569946,-42.435844,-37.616798,,,,,,,
1512178564.482474,-0.033623,0.442302,1.610591,0.035567,0.055653,-0.210783,-0.030382,-0.428021,-0.903258,0.018022,0.042722,-0.017412,-9.569565,-42.360832,-37.541771,,,,,,,
1512178564.502463,-0.031211,0.443408,1.605741,0.056041,0.005509,-0.226652,-0.028188,-0.429021,-0.902855,0.016653,0.048375,-0.023888,-9.119598,-42.360161,-37.620583,,,,,,,
1512178564.522452,-0.028734,0.443919,1.600994,0.008731,0.020347,-0.200631,-0.025946,-0.429482,-0.902703,0.013372,0.032952,-0.019447,-8.668442,-42.134483,-37.324318,,,,,,,
1512178564.542471,-0.027189,0.443566,1.597054,-0.023965,-0.026792,-0.160764,-0.024555,-0.429163,-0.902893,0.008960,0.029002,-0.028076,-8.593887,-42.209373,-37.549980,,,,,,,
1512178564.562460,-0.025985,0.443085,1.593849,-0.007324,-0.002246,-0.133783,-0.023473,-0.428729,-0.903128,-0.003733,0.031207,-0.018045,-8.368332,-42.134026,-37.101875,,,,,,,
1512178564.582449,-0.024236,0.443247,1.591289,0.024195,0.054354,-0.103281,-0.021892,-0.428875,-0.903099,-0.016224,0.029125,-0.006310,-8.067429,-41.908577,-37.329308,,,,,,,
1512178564.602469,-0.021637,0.443503,1.589638,0.010646,0.105515,-0.054258,-0.019542,-0.429107,-0.903042,-0.028096,0.023482,-0.004581,-7.918777,-42.208366,-37.330727,,,,,,,
1512178564.622458,-0.020024,0.443121,1.589127,-0.027510,0.040197,-0.007069,-0.018089,-0.428761,-0.903237,-0.035591,0.027089,-0.024208,-7.542648,-41.982796,-37.108818,,,,,,,
1512178564.642447,-0.019625,0.442050,1.589261,-0.049237,0.036916,0.018194,-0.017738,-0.427794,-0.903702,-0.039422,0.035139,-0.020126,-7.542618,-41.982796,-37.033806,,,,,,,
1512178564.662466,-0.018380,0.441505,1.590525,0.005210,0.130870,0.082205,-0.016616,-0.427300,-0.903957,-0.046448,0.022713,-0.031193,-7.016113,-41.682014,-36.738136,,,,,,,
