magnetometer-calibrated.txt

All values are in micro-Tesla (uT).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.376 0.358 4.6188354 0.579834 -53.66211
0.398 0.379 5.062866 1.1108398 -54.008484
0.421 0.399 5.9188843 2.394104 -54.785156
0.437 0.419 4.951477 1.9119263 -54.31366
0.457 0.439 4.6569824 1.7150879 -54.504395
0.477 0.459 4.2022705 1.3961792 -55.014038
0.499 0.479 4.7851563 1.7456055 -55.12848
0.524 0.499 4.3014526 1.6921997 -54.447937
0.542 0.520 3.7780762 1.852417 -53.494263
0.591 0.540 4.7851563 2.4108887 -54.47693
0.591 0.560 4.841614 1.6555786 -54.19159
0.601 0.580 4.0542603 0.42419434 -53.720093
0.620 0.600 2.4475098 0.7461548 -53.82538
0.637 0.620 2.822876 0.869751 -53.579712
0.656 0.640 3.3843994 1.2710571 -52.607727
0.677 0.661 3.2821655 1.5792847 -51.70746
0.696 0.681 3.5507202 1.31073 -52.09961
0.717 0.701 3.1951904 1.2542725 -52.215576
0.736 0.721 2.1133423 1.7456055 -51.545715
0.756 0.741 1.6082764 1.385498 -51.89514
0.775 0.761 1.6052246 1.2786865 -51.426697
0.796 0.781 2.4475098 1.7456055 -50.242615
0.816 0.802 1.4511108 2.1255493 -50.764465
0.837 0.822 0.6652832 1.8753052 -51.304626
0.857 0.842 1.1108398 1.0787964 -51.219177
0.876 0.862 1.3534546 1.8066406 -50.030518
0.896 0.882 0.61950684 2.2476196 -49.58191
0.918 0.902 -0.39215088 1.9119263 -50.404358
0.936 0.922 -0.048828125 2.4230957 -49.902344
0.955 0.943 1.1489868 3.0822754 -49.93744
0.975 0.963 1.9454956 3.2424927 -50.404358
0.996 0.983 1.4022827 3.4210205 -48.817444
1.016 1.003 1.3122559 3.2089233 -47.831726
1.036 1.023 1.612854 2.909851 -48.124695
1.057 1.043 0.47149658 2.909851 -48.309326
1.076 1.063 0.2822876 3.1967163 -47.97821
1.095 1.084 0.77667236 3.4088135 -47.636414
1.115 1.104 1.0757446 3.5064697 -47.343445
1.136 1.124 1.4801025 2.9708862 -47.146606
1.157 1.144 1.612854 2.5772095 -47.146606
1.175 1.164 0.56915283 1.9546509 -46.739197
1.195 1.184 0.57525635 2.420044 -46.495056
1.216 1.204 0.94451904 2.909851 -46.495056
1.235 1.225 0.72631836 2.2583008 -46.28296
1.256 1.245 -0.16326904 1.8005371 -46.492004
1.276 1.265 -0.5584717 1.7456055 -46.658325
1.297 1.285 0.12359619 2.4230957 -47.32361
1.315 1.305 0.32806396 2.6275635 -46.624756
1.337 1.325 0.27618408 2.5772095 -46.170044
1.355 1.345 0.5126953 1.6326904 -45.477295
1.375 1.365 -0.34942627 1.4846802 -45.658875
1.395 1.386 -0.72631836 1.5792847 -45.843506
1.414 1.406 -0.48065186 1.5792847 -46.08307
1.435 1.426 -1.512146 1.7028809 -47.503662
1.456 1.446 -1.8951416 1.7456055 -47.961426
1.474 1.466 -0.36621094 2.2521973 -46.469116
1.495 1.486 -0.6652832 1.8966675 -44.999695
1.515 1.506 -0.89263916 1.7456055 -44.703674
1.535 1.527 -0.6286621 1.7456055 -45.733643
1.555 1.547 -1.2268066 1.3442993 -46.658325
1.574 1.567 -1.3931274 1.2451172 -46.821594
1.596 1.587 -1.2573242 1.1077881 -46.421814
1.615 1.607 -1.0879517 2.0431519 -47.276306
1.634 1.627 -1.05896 2.2445679 -47.473145
1.656 1.647 -1.7684937 1.8218994 -45.67871
1.676 1.668 -1.6098022 1.7456055 -45.91217
1.694 1.688 -1.5609741 1.7456055 -46.006775
1.714 1.708 -2.2903442 2.470398 -47.001648
1.734 1.728 -2.6916504 2.2827148 -46.85974
1.757 1.748 -2.7297974 2.2445679 -46.821594
1.774 1.768 -2.5787354 2.6931763 -47.261047
1.795 1.788 -3.0197144 1.3778687 -47.16034
1.814 1.809 -3.0639648 1.2451172 -47.146606
1.834 1.829 -3.0639648 4.3395996 -48.66028
1.855 1.849 -4.1625977 3.791809 -48.010254
1.874 1.869 -4.232788 3.741455 -47.961426
1.894 1.889 -2.6367188 3.4225464 -49.206543
1.914 1.909 -3.3676147 3.567505 -48.794556
1.934 1.929 -3.3981323 3.5751343 -48.776245
1.955 1.950 -3.3981323 3.2470703 -49.095154
1.976 1.970 -3.729248 5.2230835 -48.77777
2.014 1.990 -3.730774 5.2383423 -48.776245
2.034 2.010 -3.7277222 4.5455933 -49.10431
2.054 2.030 -3.3981323 2.2445679 -49.427795
2.075 2.050 -3.3798218 2.29187 -49.427795
2.094 2.070 -2.7175903 3.881836 -49.45221
