gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
2.744 2.732 -0.004425049 -0.0019226074 0.0048065186
2.765 2.752 -0.0055389404 0.0028686523 0.0045928955
2.783 2.772 -0.0044403076 2.1362305E-4 0.004928589
2.807 2.792 -0.006149292 -0.009109497 0.0044555664
2.825 2.812 -0.011749268 0.0051727295 0.0044555664
2.845 2.832 -0.004043579 -0.0018920898 0.0032043457
2.867 2.853 -0.002746582 0.002960205 0.0016937256
2.890 2.873 -0.0045166016 0.0052948 0.0018920898
2.906 2.893 -0.0017242432 -0.0011444092 0.004257202
2.924 2.913 -0.0017547607 0.0032043457 0.0042266846
2.944 2.933 -0.0012664795 -1.5258789E-5 0.004058838
2.966 2.953 -0.0030975342 -0.004119873 0.0031433105
2.985 2.973 -0.0060577393 0.004547119 0.004333496
3.006 2.994 -0.004837036 -0.0037231445 0.004180908
3.024 3.014 -0.004333496 0.007446289 0.002029419
3.045 3.034 -0.002670288 0.010070801 0.0012512207
3.067 3.054 -0.0022125244 -0.002822876 5.645752E-4
3.085 3.074 -0.006072998 0.008041382 -5.0354004E-4
3.105 3.094 -8.69751E-4 0.0020599365 -8.8500977E-4
3.125 3.114 -0.0022277832 -9.3078613E-4 -8.8500977E-4
3.146 3.135 -0.0039978027 0.0055236816 -1.5258789E-4
3.166 3.155 -0.0036468506 0.009796143 -0.0012512207
3.187 3.175 0.001449585 0.008636475 -0.0012207031
3.207 3.195 -0.0013122559 0.008361816 -1.373291E-4
3.225 3.215 -0.0021820068 6.1035156E-4 -0.0012817383
3.246 3.235 -0.004470825 0.0058135986 -4.7302246E-4
3.271 3.255 -0.0020599365 0.010498047 -5.493164E-4
3.285 3.276 0.0010528564 -0.0041656494 -0.002380371
3.306 3.296 -0.005859375 0.016616821 -0.0022583008
3.325 3.316 0.0031738281 0.005859375 -0.0027008057
3.352 3.336 0.0027313232 0.008422852 -0.0030212402
3.366 3.356 -1.5258789E-4 0.006011963 -0.0030212402
3.386 3.376 0.0042266846 -0.0044403076 -6.713867E-4
3.407 3.396 -3.2043457E-4 0.005218506 -0.0045166016
3.427 3.417 0.005264282 0.0066223145 -0.0030822754
3.446 3.437 0.009689331 0.018203735 -3.5095215E-4
3.466 3.457 0.015853882 0.016952515 9.918213E-4
3.487 3.477 0.013671875 0.0054016113 0.0036773682
3.507 3.497 0.012374878 0.015304565 0.006088257
3.526 3.517 0.016464233 0.0037994385 0.008239746
3.547 3.537 0.00944519 0.013931274 0.007904053
3.567 3.558 0.007858276 0.013305664 0.011001587
3.586 3.578 0.0072631836 0.01272583 0.008590698
3.607 3.598 0.0011291504 0.010437012 0.0068206787
3.628 3.618 -0.004699707 -4.272461E-4 0.0057525635
3.647 3.638 -0.015197754 0.0037841797 0.002105713
3.666 3.658 -0.014099121 -0.0065612793 0.0038452148
3.687 3.678 -0.02192688 -8.087158E-4 0.0018615723
3.707 3.699 -0.021331787 -0.01449585 3.8146973E-4
3.726 3.719 -0.027770996 4.272461E-4 0.0010681152
3.747 3.739 -0.021331787 -0.009735107 0.0012512207
3.766 3.759 -0.022338867 -0.0046691895 0.003036499
3.787 3.779 -0.0184021 0.006790161 0.0069732666
3.807 3.799 -0.0076141357 -0.009353638 0.007659912
3.830 3.819 -0.0103302 0.008224487 0.007659912
3.847 3.840 -0.001083374 -0.0027313232 0.008575439
3.867 3.860 0.0033721924 0.009475708 0.010574341
3.886 3.880 0.00843811 7.9345703E-4 0.008102417
3.906 3.900 0.006362915 0.013046265 0.008605957
3.931 3.920 0.012527466 -8.392334E-4 0.00592041
3.948 3.940 0.0039978027 0.009216309 0.0036468506
3.966 3.960 0.0018005371 -0.0053100586 0.0024414063
3.987 3.981 -0.0021209717 0.011672974 0.002319336
4.006 4.001 -0.0025787354 0.00730896 0.0032806396
4.027 4.021 -0.0035552979 0.0036315918 0.0043640137
4.047 4.041 -0.013397217 0.0043182373 0.005432129
4.067 4.061 -0.009429932 0.0054016113 0.004547119
4.088 4.081 -0.010971069 0.005493164 0.0044555664
4.108 4.101 -0.007171631 0.012420654 0.0074310303
4.127 4.122 -0.002822876 -0.002166748 0.008682251
4.148 4.142 -0.0045928955 0.003982544 0.006729126
4.168 4.162 -0.004714966 -0.0046844482 0.0045776367
4.188 4.182 -0.0026855469 0.009033203 0.006500244
4.208 4.202 0.0045776367 -0.003540039 0.006591797
4.228 4.222 7.324219E-4 0.002105713 0.0045166016
4.248 4.242 0.0016326904 -0.0078125 0.0014343262
4.268 4.263 -0.0033874512 0.013916016 0.0032806396
4.289 4.283 0.003479004 -0.011398315 0.0033874512
4.310 4.303 -0.008483887 0.015029907 0.0054473877
4.329 4.323 -0.004760742 -0.008163452 0.0055236816
4.347 4.343 -0.007843018 0.015472412 0.0055236816
4.368 4.363 -0.0027160645 5.187988E-4 0.0055236816
4.392 4.383 -0.0054779053 0.010757446 0.0055236816
4.408 4.404 -0.0015563965 -0.0134887695 0.004470825
4.450 4.424 -0.010955811 0.014633179 0.005493164
4.450 4.444 -0.0025787354 -0.0073242188 0.0033874512
4.488 4.464 -0.005783081 0.016082764 0.0033874512
