gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
2.762 2.749 0.16944885 -0.039413452 0.4356537
2.781 2.769 0.2722931 -0.011734009 0.48176575
2.800 2.789 0.3045044 0.21234131 0.3935852
2.821 2.810 0.18754578 0.4199829 0.31321716
2.840 2.830 0.08811951 0.48542786 0.2774048
2.863 2.850 0.026626587 0.2852478 0.32974243
2.882 2.870 0.029724121 -0.053085327 0.41304016
2.900 2.890 0.17219543 -0.17469788 0.38905334
2.920 2.910 0.2823639 0.12068176 0.16397095
2.940 2.930 0.2010498 0.52659607 -0.10089111
2.963 2.951 0.022537231 0.60017395 -0.15618896
2.980 2.971 -0.066467285 0.27246094 -2.593994E-4
3.000 2.991 0.029846191 -0.009552002 0.15370178
3.020 3.011 0.15730286 -0.058410645 0.19674683
3.047 3.031 0.2597046 0.259552 0.10626221
3.066 3.051 0.11752319 0.50253296 0.008544922
3.079 3.071 -0.0115356445 0.31021118 0.13801575
3.099 3.092 0.07337952 0.029708862 0.29293823
3.119 3.112 0.119003296 0.018035889 0.33422852
3.139 3.132 0.08546448 0.068496704 0.34838867
3.159 3.152 0.1663971 0.14105225 0.3158722
3.179 3.172 0.19572449 0.23139954 0.26184082
3.199 3.192 0.116760254 0.17999268 0.2843933
3.220 3.212 0.13516235 0.13986206 0.27763367
3.240 3.233 0.106155396 0.07147217 0.31211853
3.261 3.253 0.12321472 -0.14299011 0.38804626
3.282 3.273 0.3011322 -0.04710388 0.26565552
3.299 3.293 0.2586975 0.31330872 0.13192749
3.319 3.313 0.051223755 0.46177673 0.09674072
3.342 3.333 -0.007156372 0.11013794 0.250885
3.361 3.353 0.1486206 0.029769897 0.2011261
3.384 3.374 0.04522705 0.24287415 0.11201477
3.400 3.394 -0.048797607 0.26994324 0.1204834
3.423 3.414 0.17733765 0.35476685 -0.03590393
3.440 3.434 0.10189819 0.6749115 -0.2593994
3.459 3.454 -0.21005249 0.85943604 -0.29353333
3.484 3.474 -0.38012695 0.55055237 -0.15776062
3.499 3.494 -0.317276 -0.10020447 0.18190002
3.523 3.515 -0.1817627 -0.62927246 0.5484619
3.540 3.535 0.36613464 -0.4434204 0.59080505
3.584 3.555 0.82762146 0.10083008 0.3448944
3.602 3.575 0.50502014 0.70817566 0.0834198
3.626 3.595 0.12271118 0.78453064 0.08706665
3.641 3.615 0.036499023 0.27033997 0.34477234
3.657 3.635 0.15138245 -0.1880951 0.5753174
3.677 3.655 0.24827576 -0.2519226 0.5924072
3.698 3.676 0.2338562 6.866455E-4 0.42982483
3.717 3.696 0.07608032 0.32170105 0.19186401
3.736 3.716 -0.008972168 0.5037079 -0.04197693
3.757 3.736 -0.038528442 0.4073639 -0.08073425
3.777 3.756 -0.035949707 0.19732666 -0.03416443
3.797 3.776 0.031433105 0.051513672 0.042114258
3.816 3.796 0.086517334 0.07183838 0.08308411
3.837 3.817 0.15644836 0.23513794 0.07759094
3.857 3.837 0.101119995 0.20677185 0.18119812
3.877 3.857 0.12532043 0.054260254 0.24894714
3.899 3.877 0.1325531 0.03437805 0.26023865
3.923 3.897 0.12208557 0.16015625 0.1678772
3.940 3.917 0.062042236 0.3630371 0.03236389
3.956 3.937 -0.12234497 0.27549744 0.067871094
3.976 3.958 -0.13252258 0.02659607 0.17077637
3.996 3.978 -0.0026855469 -0.06413269 0.2617798
4.016 3.998 0.09825134 -0.018249512 0.30981445
4.035 4.018 0.23902893 0.19760132 0.24511719
4.057 4.038 0.2756195 0.4194641 0.12574768
4.076 4.058 0.16313171 0.551239 0.02658081
4.096 4.078 -0.034423828 0.40708923 0.047058105
4.116 4.099 -0.060684204 0.11853027 0.15298462
4.135 4.119 0.1211853 -0.016571045 0.24809265
4.155 4.139 0.2277832 0.105529785 0.21488953
4.175 4.159 0.14181519 0.24085999 0.13722229
4.195 4.179 0.15742493 0.3171692 0.075912476
4.219 4.199 0.25465393 0.4320984 0.03276062
4.236 4.219 0.13580322 0.42799377 0.070617676
4.268 4.240 -0.032455444 0.12083435 0.18249512
4.278 4.260 -0.0046539307 -0.19232178 0.27949524
4.296 4.280 0.11102295 -0.1680603 0.2584076
4.321 4.300 0.14920044 0.047286987 0.17671204
4.351 4.320 0.18429565 0.28671265 0.091812134
4.360 4.340 0.12942505 0.42666626 0.018707275
4.381 4.360 -0.02684021 0.38050842 0.030776978
4.396 4.381 -0.12098694 0.14614868 0.14274597
4.419 4.401 -0.11016846 -0.14498901 0.3164215
4.436 4.421 0.016647339 -0.33599854 0.430542
4.466 4.441 0.23892212 -0.14924622 0.34812927
4.476 4.461 0.24401855 0.24473572 0.19863892
4.496 4.481 0.103881836 0.3697815 0.105407715
4.520 4.501 0.09642029 0.28182983 0.08061218
4.540 4.522 0.055145264 0.27320862 0.09603882
4.555 4.542 -0.08598328 0.2632904 0.09838867
4.574 4.562 -0.1076355 0.16853333 0.10093689
4.594 4.582 -0.02708435 0.1360321 0.10762024
4.615 4.602 -0.0039367676 0.13201904 0.12817383
4.634 4.622 0.079818726 0.10469055 0.138443
4.654 4.642 0.21372986 0.14883423 0.13352966
4.674 4.663 0.20889282 0.1811676 0.12567139
4.694 4.683 0.1620636 0.11782837 0.14212036
4.714 4.703 0.17936707 0.07458496 0.1659851
4.734 4.723 0.14842224 0.09060669 0.17687988
4.754 4.743 0.09327698 0.019546509 0.19673157
4.774 4.763 0.13841248 -0.04524231 0.20495605
4.794 4.783 0.19561768 0.09136963 0.12315369
4.814 4.804 0.077301025 0.27566528 0.016540527
4.848 4.824 -0.083343506 0.22949219 0.014160156
4.859 4.844 -0.0773468 -0.02067566 0.105773926
4.876 4.864 0.08174133 -0.054595947 0.12094116
4.894 4.884 0.09538269 0.10005188 0.10862732
4.913 4.904 0.074157715 0.22384644 0.05947876
4.934 4.924 0.09996033 0.2202301 0.03527832
4.952 4.945 0.095199585 0.25656128 0.029312134
4.972 4.965 -0.0026245117 0.22805786 0.07807922
4.995 4.985 -0.054595947 -0.014160156 0.20776367
5.012 5.005 0.09559631 -0.15698242 0.2541504
5.037 5.025 0.2337799 0.047409058 0.15441895
5.052 5.045 0.16679382 0.2920227 0.05279541
5.073 5.065 0.08564758 0.28633118 0.030883789
5.092 5.086 0.07130432 0.05105591 0.08908081
5.112 5.106 0.07736206 -0.092178345 0.14720154
5.133 5.126 0.092163086 0.020217896 0.12628174
5.151 5.146 0.025909424 0.15934753 0.08882141
5.171 5.166 -0.007751465 0.077423096 0.15769958
5.191 5.186 0.11956787 -0.0055999756 0.15484619
5.222 5.206 0.15065002 0.17625427 0.07688904
5.236 5.227 -0.049713135 0.18551636 0.115356445
5.253 5.247 0.007598877 0.10317993 0.10777283
5.275 5.267 0.09927368 0.119155884 0.074417114
5.299 5.287 -0.009017944 0.026351929 0.12347412
5.313 5.307 -0.029632568 -0.0158844 0.16558838
5.333 5.327 0.091934204 0.056381226 0.12814331
5.354 5.347 0.11260986 0.15292358 0.05545044
5.373 5.368 0.051254272 0.061172485 0.0713501
5.395 5.388 0.094055176 0.0050811768 0.10340881
5.413 5.408 0.075408936 0.083343506 0.10379028
5.453 5.428 0.045166016 0.24154663 0.05116272
5.471 5.448 0.008804321 0.23220825 0.024856567
5.492 5.468 -0.07208252 0.011627197 0.1525116
5.513 5.488 -0.03213501 -0.22428894 0.25183105
5.531 5.509 0.07772827 -0.24385071 0.2877655
5.550 5.529 0.19883728 -0.0869751 0.2401886
5.571 5.549 0.2256012 0.40628052 0.024520874
5.596 5.569 -0.05760193 0.37234497 0.033294678
5.620 5.589 -0.010986328 0.16212463 0.05822754
5.634 5.609 -0.06880188 -0.09547424 0.18536377
5.652 5.629 -0.05899048 -0.15330505 0.22439575
5.671 5.650 0.03678894 -0.056289673 0.13883972
5.691 5.670 0.18391418 0.17268372 -0.012664795
5.711 5.690 0.18643188 0.4471588 -0.13560486
5.731 5.710 0.010437012 0.46435547 -0.14794922
5.752 5.730 -0.108184814 0.26283264 -0.058242798
5.771 5.750 -0.099609375 -0.060897827 0.094451904
5.790 5.770 0.039382935 -0.19664001 0.19992065
5.811 5.791 0.12843323 -0.17645264 0.24510193
5.832 5.811 0.21409607 -0.059631348 0.19786072
5.850 5.831 0.25506592 0.24334717 0.04411316
5.870 5.851 0.14300537 0.44483948 -0.057434082
5.891 5.871 -0.0121154785 0.42156982 -0.114089966
5.914 5.891 -0.1454773 0.2181549 -0.1002655
5.929 5.911 -0.19406128 -0.046722412 -0.020812988
5.952 5.931 -0.19847107 -0.33155823 0.16824341
5.969 5.952 -0.007873535 -0.54811096 0.3058014
5.989 5.972 0.39027405 -0.27435303 0.20103455
6.009 5.992 0.39814758 0.07144165 0.12828064
6.030 6.012 0.21054077 0.32592773 -0.004837036
6.051 6.032 0.021865845 0.3065796 0.0029296875
6.069 6.052 -0.0650177 0.119766235 0.12597656
6.097 6.072 -0.11230469 -0.060455322 0.23464966
6.110 6.093 -0.087677 -0.1481781 0.3070221
6.132 6.113 0.023101807 -0.08088684 0.24830627
6.152 6.133 0.04147339 0.058639526 0.09706116
6.169 6.153 -0.048568726 0.15991211 -0.037246704
6.204 6.173 -0.07595825 0.1598053 -0.110961914
6.210 6.193 -0.052978516 0.11065674 -0.12614441
6.229 6.213 -0.0599823 0.063690186 -0.10133362
6.250 6.234 -0.05090332 0.017501831 -0.055023193
6.267 6.254 0.04286194 0.017059326 -0.021697998
6.295 6.274 0.122177124 -0.031585693 0.057037354
6.313 6.294 0.22190857 -0.002532959 0.04864502
6.330 6.314 0.233078 0.19241333 -0.066833496
6.354 6.334 0.0077819824 0.18612671 -0.038101196
6.370 6.354 -0.1425476 -0.0874939 0.10316467
6.397 6.375 -0.056365967 -0.24247742 0.18887329
6.412 6.395 0.027023315 -0.077316284 0.15289307
6.428 6.415 -0.030441284 0.16113281 -0.0022125244
6.450 6.435 -0.08076477 0.25398254 -0.14508057
6.468 6.455 -0.09916687 0.19456482 -0.16827393
6.489 6.475 -0.093566895 -0.07460022 -0.048416138
6.508 6.495 0.10569763 -0.26220703 0.060424805
6.528 6.516 0.29623413 -0.28204346 0.093170166
6.548 6.536 0.38679504 0.017105103 -0.020141602
6.568 6.556 0.20510864 0.38371277 -0.11627197
6.591 6.576 -0.065200806 0.25704956 -0.0016174316
6.613 6.596 -0.060516357 -0.027633667 0.0929718
6.629 6.616 -0.105407715 -9.0026855E-4 0.08872986
6.648 6.636 -0.31263733 -0.01411438 0.118621826
6.671 6.657 -0.30789185 -0.16589355 0.118774414
6.688 6.677 -0.18243408 -0.20904541 0.045135498
6.715 6.697 0.035614014 0.03526306 0.02609253
6.732 6.717 0.19377136 0.36968994 0.003982544
6.755 6.737 0.1426239 0.33250427 0.07511902
6.765 6.757 0.16166687 -0.070739746 0.14724731
6.786 6.777 0.24420166 -0.21832275 0.1862793
6.809 6.798 0.24809265 -0.034118652 0.15142822
6.827 6.818 0.1298523 0.2320404 0.022613525
