gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.450 0.433 0.10522461 0.078933716 0.11352539 0.0326233 0.006210327 -0.0043640137
0.471 0.453 0.074417114 0.049468994 0.09742737 0.0326233 0.006210327 -0.0043640137
0.493 0.473 0.04748535 0.06506348 0.06460571 0.0326233 0.006210327 -0.0043640137
0.534 0.493 0.062423706 0.08300781 0.029251099 0.0326233 0.006210327 -0.0043640137
0.534 0.513 0.08377075 0.020736694 0.032104492 0.0326233 0.006210327 -0.0043640137
0.549 0.534 0.07846069 -0.0027008057 0.024551392 0.0326233 0.006210327 -0.0043640137
0.569 0.554 0.08615112 0.049346924 -0.027954102 0.0326233 0.006210327 -0.0043640137
0.589 0.574 0.057632446 0.06918335 -0.07272339 0.0326233 0.006210327 -0.0043640137
0.609 0.594 -0.018432617 0.05987549 -0.07119751 0.0326233 0.006210327 -0.0043640137
0.629 0.614 -0.071258545 -3.0517578E-4 -0.046554565 0.0326233 0.006210327 -0.0043640137
0.649 0.634 -0.1043396 -0.10050964 -0.018218994 0.0326233 0.006210327 -0.0043640137
0.671 0.654 -0.20205688 -0.24565125 0.023590088 0.0326233 0.006210327 -0.0043640137
0.689 0.675 -0.38249207 -0.43652344 0.15327454 0.0326233 0.006210327 -0.0043640137
0.710 0.695 -0.35238647 -0.3057251 0.21217346 0.0326233 0.006210327 -0.0043640137
0.728 0.715 -0.028869629 -0.027175903 0.10549927 0.0326233 0.006210327 -0.0043640137
0.749 0.735 0.3478241 0.145401 0.17184448 0.0326233 0.006210327 -0.0043640137
0.771 0.755 0.7445679 0.37303162 0.46272278 0.0326233 0.006210327 -0.0043640137
0.788 0.775 1.1203156 0.52482605 0.7208557 0.0326233 0.006210327 -0.0043640137
0.810 0.795 1.4229431 0.67071533 0.8234253 0.0326233 0.006210327 -0.0043640137
0.828 0.816 1.5379333 0.8618469 0.7615814 0.0326233 0.006210327 -0.0043640137
0.849 0.836 1.3826599 0.87490845 0.60539246 0.0326233 0.006210327 -0.0043640137
0.869 0.856 0.82321167 0.9185333 0.17715454 0.0326233 0.006210327 -0.0043640137
0.889 0.876 0.07498169 0.690094 -0.26652527 0.0326233 0.006210327 -0.0043640137
0.910 0.896 -0.5516205 -0.52249146 -0.2163086 0.0326233 0.006210327 -0.0043640137
0.928 0.916 -1.1262665 -1.8767242 0.062576294 0.0326233 0.006210327 -0.0043640137
0.949 0.936 -1.4348602 -2.0270386 0.21995544 0.0326233 0.006210327 -0.0043640137
0.970 0.957 -1.2617188 -1.3757324 0.20030212 0.0326233 0.006210327 -0.0043640137
0.989 0.977 -0.76119995 -0.5618439 0.181427 0.0326233 0.006210327 -0.0043640137
1.009 0.997 -0.25645447 -0.017730713 0.28263855 0.0326233 0.006210327 -0.0043640137
1.029 1.017 0.13127136 0.060913086 0.45100403 0.0326233 0.006210327 -0.0043640137
1.047 1.037 0.37547302 -0.014907837 0.48188782 0.0326233 0.006210327 -0.0043640137
1.069 1.057 0.47732544 -0.18287659 0.37501526 0.0326233 0.006210327 -0.0043640137
1.087 1.077 0.46188354 -0.42778015 0.13026428 0.0326233 0.006210327 -0.0043640137
1.109 1.098 0.3401184 -0.7830353 -0.49209595 0.0326233 0.006210327 -0.0043640137
1.127 1.118 0.18244934 -1.1577301 -1.3083344 0.0326233 0.006210327 -0.0043640137
1.148 1.138 -0.012863159 -1.2398224 -2.0102081 0.0326233 0.006210327 -0.0043640137
1.168 1.158 -0.1356659 -0.73399353 -1.1820068 0.0326233 0.006210327 -0.0043640137
1.187 1.178 -0.10700989 -0.033050537 0.1131897 0.0326233 0.006210327 -0.0043640137
1.209 1.198 0.15507507 0.15263367 0.45433044 0.0326233 0.006210327 -0.0043640137
1.227 1.218 0.15402222 0.20581055 0.37312317 0.0326233 0.006210327 -0.0043640137
1.247 1.239 -0.1015625 0.40075684 0.37890625 0.0326233 0.006210327 -0.0043640137
1.268 1.259 -0.41337585 0.14637756 0.38180542 0.0326233 0.006210327 -0.0043640137
1.289 1.279 -0.51672363 -0.20559692 0.31472778 0.0326233 0.006210327 -0.0043640137
1.306 1.299 -0.5388336 -0.4177246 0.6808624 0.0326233 0.006210327 -0.0043640137
1.326 1.319 -0.6411743 -0.67630005 0.8974762 0.0326233 0.006210327 -0.0043640137
1.346 1.339 -0.5092468 -0.51091003 0.70428467 0.0326233 0.006210327 -0.0043640137
1.367 1.359 -0.19456482 -0.24212646 0.49238586 0.0326233 0.006210327 -0.0043640137
1.386 1.379 -0.09609985 -0.07546997 0.6144104 0.0326233 0.006210327 -0.0043640137
1.406 1.400 0.14717102 0.34721375 0.2423706 0.0326233 0.006210327 -0.0043640137
1.425 1.420 0.20951843 0.0980072 -0.105270386 0.0326233 0.006210327 -0.0043640137
1.446 1.440 0.22097778 -0.01272583 -0.15541077 0.0326233 0.006210327 -0.0043640137
1.467 1.460 0.18121338 -0.11759949 -0.1296997 0.0326233 0.006210327 -0.0043640137
1.486 1.480 0.28875732 -0.29310608 -0.03895569 0.0326233 0.006210327 -0.0043640137
1.507 1.500 0.7436371 -0.24230957 -0.072647095 0.0326233 0.006210327 -0.0043640137
1.525 1.520 0.9206848 -0.047088623 -0.0769043 0.0326233 0.006210327 -0.0043640137
1.546 1.541 0.42417908 0.2876587 -0.14245605 0.0326233 0.006210327 -0.0043640137
1.568 1.561 0.04963684 0.53352356 -0.058029175 0.0326233 0.006210327 -0.0043640137
1.588 1.581 0.05281067 0.63438416 -0.102386475 0.0326233 0.006210327 -0.0043640137
1.606 1.601 0.055618286 0.6783447 -0.14932251 0.0326233 0.006210327 -0.0043640137
1.626 1.621 -0.0901947 0.54473877 -0.081726074 0.0326233 0.006210327 -0.0043640137
1.646 1.641 -0.0970459 0.26306152 -0.058166504 0.0326233 0.006210327 -0.0043640137
1.665 1.661 -4.5776367E-4 -0.0062561035 0.013824463 0.0326233 0.006210327 -0.0043640137
1.688 1.682 0.14025879 0.004119873 0.07131958 0.0326233 0.006210327 -0.0043640137
1.726 1.702 0.24964905 0.21166992 0.102996826 0.0326233 0.006210327 -0.0043640137
1.746 1.722 0.15930176 0.25927734 0.18130493 0.0326233 0.006210327 -0.0043640137
1.766 1.742 0.101486206 -0.0027008057 0.21984863 0.0326233 0.006210327 -0.0043640137
1.785 1.762 0.20620728 0.021377563 0.13357544 0.0326233 0.006210327 -0.0043640137
1.805 1.782 0.0921936 0.12826538 0.105895996 0.0326233 0.006210327 -0.0043640137
1.826 1.802 -0.00440979 0.088134766 0.10397339 0.0326233 0.006210327 -0.0043640137
