magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.399 0.383 26.309204 22.90802 464.09454 13.416992 59.658813 468.38226
0.415 0.403 25.439453 23.29712 464.18304 13.416992 59.658813 468.38226
0.435 0.423 25.048828 23.29712 464.5645 13.416992 59.658813 468.38226
0.454 0.443 25.369263 21.905518 464.46075 13.416992 59.658813 468.38226
0.475 0.463 25.76294 22.200012 464.40125 13.416992 59.658813 468.38226
0.504 0.484 25.883484 22.798157 464.40125 13.416992 59.658813 468.38226
0.553 0.504 25.320435 21.340942 464.29138 13.416992 59.658813 468.38226
0.554 0.524 25.384521 22.311401 464.56757 13.416992 59.658813 468.38226
0.558 0.544 25.549316 23.130798 464.72626 13.416992 59.658813 468.38226
0.575 0.564 26.020813 21.954346 464.9582 13.416992 59.658813 468.38226
0.598 0.584 25.630188 22.987366 464.93835 13.416992 59.658813 468.38226
0.613 0.604 25.382996 23.62976 464.88953 13.416992 59.658813 468.38226
0.635 0.625 25.628662 22.892761 465.3717 13.416992 59.658813 468.38226
0.654 0.645 26.576233 23.242188 464.4638 13.416992 59.658813 468.38226
0.679 0.665 26.885986 23.46344 464.0747 13.416992 59.658813 468.38226
0.693 0.685 26.499939 22.82257 464.20135 13.416992 59.658813 468.38226
0.714 0.705 25.360107 21.864319 464.23798 13.416992 59.658813 468.38226
0.733 0.725 25.048828 21.632385 464.23798 13.416992 59.658813 468.38226
0.753 0.745 25.582886 22.698975 464.76135 13.416992 59.658813 468.38226
0.779 0.766 25.717163 22.964478 464.63165 13.416992 59.658813 468.38226
0.792 0.786 25.717163 22.964478 464.5645 13.416992 59.658813 468.38226
0.812 0.806 26.133728 21.160889 463.88702 13.416992 59.658813 468.38226
0.833 0.826 26.77002 21.902466 464.28986 13.416992 59.658813 468.38226
0.852 0.846 26.885986 22.131348 464.40125 13.416992 59.658813 468.38226
0.874 0.866 25.72937 24.147034 464.40125 13.416992 59.658813 468.38226
0.892 0.886 25.692749 23.458862 465.10315 13.416992 59.658813 468.38226
0.912 0.907 25.717163 23.29712 465.21606 13.416992 59.658813 468.38226
0.932 0.927 25.566101 22.84851 464.1922 13.416992 59.658813 468.38226
0.952 0.947 26.293945 22.055054 463.93127 13.416992 59.658813 468.38226
0.974 0.967 26.385498 21.965027 463.91296 13.416992 59.658813 468.38226
0.991 0.987 26.385498 23.820496 464.82086 13.416992 59.658813 468.38226
1.011 1.007 24.224854 22.117615 465.19165 13.416992 59.658813 468.38226
1.031 1.027 24.046326 21.965027 465.21606 13.416992 59.658813 468.38226
1.052 1.048 26.931763 23.243713 464.59045 13.416992 59.658813 468.38226
1.073 1.068 27.212524 23.136902 465.03143 13.416992 59.658813 468.38226
1.092 1.088 27.220154 23.130798 465.0528 13.416992 59.658813 468.38226
1.111 1.108 24.89624 23.460388 465.7013 13.416992 59.658813 468.38226
1.131 1.128 24.882507 22.148132 465.70435 13.416992 59.658813 468.38226
1.175 1.148 24.894714 22.132874 465.71198 13.416992 59.658813 468.38226
1.194 1.168 25.706482 22.323608 466.16974 13.416992 59.658813 468.38226
1.211 1.189 25.215149 23.46344 465.0528 13.416992 59.658813 468.38226
1.232 1.209 25.238037 23.454285 465.09094 13.416992 59.658813 468.38226
1.252 1.229 25.706482 23.231506 465.82336 13.416992 59.658813 468.38226
1.275 1.249 25.549316 22.131348 465.0528 13.416992 59.658813 468.38226
1.291 1.269 25.509644 22.247314 465.09094 13.416992 59.658813 468.38226
1.312 1.289 25.091553 23.527527 465.64178 13.416992 59.658813 468.38226
1.331 1.309 25.549316 22.465515 466.6809 13.416992 59.658813 468.38226
1.351 1.330 25.585938 22.465515 466.5741 13.416992 59.658813 468.38226
1.375 1.350 25.624084 22.483826 465.60822 13.416992 59.658813 468.38226
1.390 1.370 23.712158 22.631836 464.88953 13.416992 59.658813 468.38226
1.411 1.390 24.040222 22.444153 465.1657 13.416992 59.658813 468.38226
1.431 1.410 25.776672 21.472168 466.57867 13.416992 59.658813 468.38226
1.450 1.430 24.214172 22.465515 465.0528 13.416992 59.658813 468.38226
1.470 1.450 24.415588 22.37854 465.1947 13.416992 59.658813 468.38226
1.491 1.471 25.14038 21.844482 465.98663 13.416992 59.658813 468.38226
1.512 1.491 24.046326 21.299744 466.51917 13.416992 59.658813 468.38226
1.531 1.511 24.01123 21.401978 466.21857 13.416992 59.658813 468.38226
1.550 1.531 24.092102 22.361755 465.123 13.416992 59.658813 468.38226
1.569 1.551 24.882507 24.461365 465.3778 13.416992 59.658813 468.38226
1.590 1.571 25.119019 24.145508 465.06958 13.416992 59.658813 468.38226
1.610 1.591 25.842285 22.845459 464.19525 13.416992 59.658813 468.38226
1.629 1.612 25.717163 21.965027 464.5645 13.416992 59.658813 468.38226
1.651 1.632 25.717163 21.965027 464.5645 13.416992 59.658813 468.38226
1.670 1.652 26.127625 22.283936 465.14435 13.416992 59.658813 468.38226
1.690 1.672 27.220154 23.130798 466.6809 13.416992 59.658813 468.38226
1.711 1.692 27.018738 23.329163 466.29028 13.416992 59.658813 468.38226
1.730 1.712 26.805115 23.440552 465.1306 13.416992 59.658813 468.38226
1.749 1.732 27.386475 22.631836 464.5645 13.416992 59.658813 468.38226
1.771 1.752 26.997375 22.686768 464.72778 13.416992 59.658813 468.38226
1.789 1.773 26.048279 22.7417 464.88953 13.416992 59.658813 468.38226
1.808 1.793 25.717163 22.631836 464.5645 13.416992 59.658813 468.38226
1.828 1.813 25.776672 22.5708 464.62402 13.416992 59.658813 468.38226
1.851 1.833 25.822449 22.40448 464.66827 13.416992 59.658813 468.38226
1.868 1.853 25.717163 22.299194 464.5645 13.416992 59.658813 468.38226
1.889 1.873 25.584412 22.955322 464.95056 13.416992 59.658813 468.38226
1.909 1.893 25.448608 23.62976 465.6067 13.416992 59.658813 468.38226
1.928 1.914 25.549316 23.130798 465.70435 13.416992 59.658813 468.38226
1.949 1.934 25.691223 23.130798 465.42664 13.416992 59.658813 468.38226
1.968 1.954 26.242065 22.628784 465.26337 13.416992 59.658813 468.38226
1.989 1.974 26.71814 21.965027 465.54108 13.416992 59.658813 468.38226
2.009 1.994 26.257324 22.576904 465.39307 13.416992 59.658813 468.38226
2.029 2.014 25.639343 23.373413 465.7425 13.416992 59.658813 468.38226
2.049 2.034 25.549316 23.46344 466.3559 13.416992 59.658813 468.38226
2.069 2.055 26.123047 22.72644 465.7959 13.416992 59.658813 468.38226
2.088 2.075 26.635742 22.375488 464.65454 13.416992 59.658813 468.38226
2.109 2.095 26.551819 22.798157 464.0747 13.416992 59.658813 468.38226
2.130 2.115 26.376343 22.972107 464.5874 13.416992 59.658813 468.38226
2.151 2.135 26.12915 22.51892 464.96735 13.416992 59.658813 468.38226
2.167 2.155 26.05133 21.965027 464.88953 13.416992 59.658813 468.38226
2.187 2.175 25.585938 22.427368 464.98108 13.416992 59.658813 468.38226
