accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.333 0.322 1.335495 6.5500793 6.869034
0.353 0.343 1.3102722 6.524109 6.8763123
0.373 0.363 1.3433685 6.567459 6.941147
0.398 0.383 1.4742584 6.6736145 6.9993134
0.413 0.403 1.4429932 6.710373 6.945923
0.434 0.423 1.4830475 6.759201 6.8903656
0.452 0.443 1.4375763 6.6859894 6.777649
0.473 0.463 1.3829651 6.616104 6.787628
0.503 0.484 1.3994141 6.6536865 6.8011017
0.550 0.504 1.4925537 6.709503 6.856903
0.551 0.524 1.431366 6.64505 6.970352
0.561 0.544 1.3026428 6.489502 7.0421906
0.572 0.564 1.2150726 6.443756 7.0687256
0.594 0.584 1.3977509 6.6258087 7.0736237
0.612 0.604 1.4476776 6.6892242 7.077072
0.632 0.625 1.3652802 6.5668793 7.057312
0.652 0.645 1.4319916 6.5391083 7.139099
0.672 0.665 1.4916992 6.6322174 7.0238495
0.691 0.685 1.6196289 6.752472 7.007202
0.712 0.705 1.5365143 6.7250366 6.9398346
0.732 0.725 1.440445 6.635254 6.811508
0.752 0.745 1.3632507 6.58696 6.8766785
0.772 0.766 1.4771118 6.6348724 7.034561
0.792 0.786 1.5528564 6.7171173 6.942154
0.811 0.806 1.4631958 6.6608124 6.910187
0.831 0.826 1.2835693 6.559723 6.938965
0.851 0.846 1.36203 6.58638 6.768692
0.871 0.866 1.3793793 6.64151 6.723587
0.891 0.886 1.4384308 6.6304626 6.9465485
0.911 0.907 1.4607086 6.625366 6.951599
0.931 0.927 1.4901276 6.676346 6.8214417
0.951 0.947 1.4614716 6.6461334 6.879196
0.973 0.967 1.4881744 6.6810455 6.9862213
0.990 0.987 1.5219116 6.6624603 6.9995117
1.010 1.007 1.5572205 6.6432037 7.0328064
1.030 1.027 1.3157196 6.793274 6.9699554
1.050 1.048 1.4720154 6.62294 6.5230865
1.073 1.068 1.3244781 6.661026 6.479721
1.091 1.088 1.2120514 6.5230103 6.331375
1.111 1.108 0.8244324 6.3760376 6.7118225
1.131 1.128 1.3315887 6.501938 7.2683563
1.173 1.148 1.4885864 6.6998596 7.553604
1.191 1.168 1.4968109 6.7651978 7.644333
1.209 1.189 1.7656708 6.857147 7.289322
1.230 1.209 1.5459595 6.6514893 7.488907
1.250 1.229 1.4434357 6.65007 7.0425262
1.273 1.249 1.2845459 6.5497437 6.631241
1.289 1.269 1.290863 6.5587006 6.5302887
1.309 1.289 1.2113037 6.463379 6.350281
1.329 1.309 1.2808075 6.336685 6.6180573
1.350 1.330 1.3526001 6.5690155 6.803772
1.373 1.350 1.303833 6.548813 6.914215
1.389 1.370 0.9547119 6.487381 7.1062775
1.409 1.390 0.9597168 6.6098022 7.424301
1.429 1.410 1.2002411 6.923828 7.8413696
1.449 1.430 1.677063 7.1299744 7.8908234
1.469 1.450 2.2032928 7.332199 7.9209137
1.489 1.471 2.4205475 7.2643585 7.5936127
1.509 1.491 2.5275726 7.0668793 7.1956024
1.529 1.511 2.2267303 6.822693 6.375168
1.549 1.531 1.6859741 6.5473022 5.887848
1.569 1.551 1.2859497 6.2817535 5.7740173
1.589 1.571 0.75413513 6.1451263 5.9563293
1.609 1.591 0.5944061 6.06604 6.1431274
1.628 1.612 0.4582367 6.1007233 6.4591675
1.649 1.632 0.5749512 6.119705 7.0001373
1.668 1.652 0.61727905 6.1918335 7.47171
1.688 1.672 0.7730713 6.3909607 7.718628
1.708 1.692 0.9370575 6.5729675 7.6989594
1.728 1.712 1.2018433 6.7020874 7.683487
1.748 1.732 1.3508759 6.782013 7.5167694
1.770 1.752 1.3869171 6.74028 7.085144
1.788 1.773 1.4746704 6.649719 6.7739563
1.808 1.793 1.5366058 6.6356964 6.625
1.828 1.813 1.535965 6.6294403 6.6015015
1.848 1.833 1.5394592 6.6302032 6.713089
1.867 1.853 1.4955292 6.530472 6.884552
1.888 1.873 1.5131989 6.548172 7.2132263
1.908 1.893 1.461441 6.6244354 7.412964
1.927 1.914 1.403595 6.6550446 7.564789
1.947 1.934 1.3243256 6.630768 7.348694
1.967 1.954 1.3035278 6.609909 7.266617
1.987 1.974 1.2562561 6.536133 7.182831
2.007 1.994 1.1677856 6.49057 6.8459625
2.027 2.014 1.1442719 6.4297028 6.640991
2.047 2.034 1.2732849 6.470337 6.685013
2.067 2.055 1.3275299 6.474594 6.812439
2.087 2.075 1.2508698 6.3712616 6.806366
2.106 2.095 1.263916 6.3576965 6.8493195
2.126 2.115 1.3315582 6.4770355 7.126541
2.149 2.135 1.327652 6.545639 7.3569946
