magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.382 0.364 -1.5029907 46.427917 413.90533 13.416992 59.658813 468.38226
0.402 0.384 -1.7181396 45.57495 413.6978 13.416992 59.658813 468.38226
0.423 0.404 -1.9500732 44.3161 413.5788 13.416992 59.658813 468.38226
0.446 0.424 -1.5029907 45.428467 414.23035 13.416992 59.658813 468.38226
0.463 0.445 -1.2084961 45.368958 414.6347 13.416992 59.658813 468.38226
0.483 0.465 -0.66833496 45.50476 414.89716 13.416992 59.658813 468.38226
0.503 0.485 -0.66833496 45.92743 414.0686 13.416992 59.658813 468.38226
0.548 0.505 -0.73394775 45.603943 413.8794 13.416992 59.658813 468.38226
0.549 0.525 -0.90179443 45.028687 413.9038 13.416992 59.658813 468.38226
0.564 0.545 -1.0025024 44.929504 414.39362 13.416992 59.658813 468.38226
0.581 0.565 -0.79193115 44.718933 414.18915 13.416992 59.658813 468.38226
0.601 0.586 -1.222229 45.14923 413.62457 13.416992 59.658813 468.38226
0.622 0.606 -2.1713257 46.095276 413.25378 13.416992 59.658813 468.38226
0.641 0.626 -1.4144897 45.64209 413.5498 13.416992 59.658813 468.38226
0.662 0.646 -0.8117676 44.477844 414.0564 13.416992 59.658813 468.38226
0.681 0.666 -1.1688232 43.76526 414.23035 13.416992 59.658813 468.38226
0.701 0.686 -1.4938354 44.73419 413.5971 13.416992 59.658813 468.38226
0.721 0.706 -2.003479 45.594788 412.92725 13.416992 59.658813 468.38226
0.740 0.727 -2.1713257 45.428467 412.92725 13.416992 59.658813 468.38226
0.761 0.747 -0.35095215 45.34149 412.67395 13.416992 59.658813 468.38226
0.780 0.767 0.54016113 44.46869 413.21716 13.416992 59.658813 468.38226
0.801 0.787 -0.1663208 43.76526 413.90533 13.416992 59.658813 468.38226
0.820 0.807 0.20141602 45.23468 413.54675 13.416992 59.658813 468.38226
0.841 0.827 1.1581421 45.770264 413.71307 13.416992 59.658813 468.38226
0.860 0.847 1.6693115 45.262146 414.0686 13.416992 59.658813 468.38226
0.880 0.868 1.083374 45.455933 414.0686 13.416992 59.658813 468.38226
0.899 0.888 0.17089844 45.098877 413.3896 13.416992 59.658813 468.38226
0.919 0.908 -0.1663208 44.763184 412.92725 13.416992 59.658813 468.38226
0.940 0.928 0.9628296 45.274353 413.63068 13.416992 59.658813 468.38226
0.960 0.948 0.41046143 45.594788 414.0686 13.416992 59.658813 468.38226
0.979 0.968 -0.33416748 45.594788 414.0686 13.416992 59.658813 468.38226
0.999 0.988 0.20904541 44.836426 413.32703 13.416992 59.658813 468.38226
1.019 1.009 -0.7171631 44.981384 413.03558 13.416992 59.658813 468.38226
1.039 1.029 -1.3366699 45.262146 413.0905 13.416992 59.658813 468.38226
1.059 1.049 -0.0793457 45.147705 412.3108 13.416992 59.658813 468.38226
1.079 1.069 0.38452148 44.517517 412.74414 13.416992 59.658813 468.38226
1.099 1.089 0.33416748 44.26422 413.0905 13.416992 59.658813 468.38226
1.119 1.109 -0.025939941 44.621277 412.5061 13.416992 59.658813 468.38226
1.139 1.129 0.07476807 44.03534 412.75177 13.416992 59.658813 468.38226
1.158 1.150 0.1663208 43.76526 412.92725 13.416992 59.658813 468.38226
1.179 1.170 0.1663208 44.514465 412.92725 13.416992 59.658813 468.38226
1.199 1.190 0.038146973 44.63501 412.55493 13.416992 59.658813 468.38226
1.219 1.210 0.0 44.596863 412.43896 13.416992 59.658813 468.38226
1.241 1.230 0.91552734 45.248413 412.56714 13.416992 59.658813 468.38226
1.259 1.250 -0.4272461 46.22345 412.34283 13.416992 59.658813 468.38226
1.278 1.270 -0.83465576 46.427917 412.2757 13.416992 59.658813 468.38226
1.299 1.291 -0.56152344 46.97113 412.80975 13.416992 59.658813 468.38226
1.319 1.311 -1.6098022 46.540833 412.92725 13.416992 59.658813 468.38226
1.339 1.331 -1.8371582 46.427917 412.92725 13.416992 59.658813 468.38226
1.359 1.351 -1.5533447 47.843933 411.54175 13.416992 59.658813 468.38226
1.379 1.371 -0.49591064 46.513367 411.44104 13.416992 59.658813 468.38226
1.398 1.391 -0.33416748 46.261597 411.4624 13.416992 59.658813 468.38226
1.421 1.411 -1.0742188 47.291565 411.60583 13.416992 59.658813 468.38226
1.439 1.432 -2.3666382 47.12677 410.16693 13.416992 59.658813 468.38226
1.458 1.452 -2.5054932 47.0932 409.99603 13.416992 59.658813 468.38226
1.478 1.472 -1.4343262 45.718384 411.94 13.416992 59.658813 468.38226
1.498 1.492 -1.3366699 47.450256 410.60028 13.416992 59.658813 468.38226
1.523 1.512 -1.3366699 47.592163 410.4843 13.416992 59.658813 468.38226
1.540 1.532 -0.38452148 45.37506 411.4151 13.416992 59.658813 468.38226
1.558 1.552 -2.5863647 48.46649 412.09106 13.416992 59.658813 468.38226
1.578 1.573 -2.671814 48.590088 412.11395 13.416992 59.658813 468.38226
1.597 1.593 -1.3580322 45.967102 410.51025 13.416992 59.658813 468.38226
1.621 1.613 -0.340271 47.251892 411.13434 13.416992 59.658813 468.38226
1.658 1.633 -0.3463745 47.254944 411.13586 13.416992 59.658813 468.38226
1.678 1.653 -1.8569946 46.746826 410.9558 13.416992 59.658813 468.38226
1.698 1.673 -2.8381348 46.095276 409.99603 13.416992 59.658813 468.38226
1.718 1.693 -2.8121948 46.16089 410.06165 13.416992 59.658813 468.38226
1.737 1.714 -2.1987915 47.80121 411.59973 13.416992 59.658813 468.38226
1.758 1.734 -2.671814 48.590088 411.13586 13.416992 59.658813 468.38226
1.777 1.754 -2.5497437 48.442078 411.11298 13.416992 59.658813 468.38226
1.797 1.774 -1.0742188 46.549988 410.79712 13.416992 59.658813 468.38226
1.819 1.794 -1.8371582 46.095276 410.64758 13.416992 59.658813 468.38226
1.839 1.814 -1.8371582 46.202087 410.68268 13.416992 59.658813 468.38226
1.857 1.834 -1.8569946 47.23053 410.91614 13.416992 59.658813 468.38226
1.877 1.855 -2.003479 48.257446 410.4843 13.416992 59.658813 468.38226
1.897 1.875 -2.0507813 48.16284 410.39276 13.416992 59.658813 468.38226
1.920 1.895 -2.1102905 47.51587 410.0067 13.416992 59.658813 468.38226
1.936 1.915 -0.83465576 47.0932 410.9726 13.416992 59.658813 468.38226
1.956 1.935 -0.77667236 47.209167 411.03058 13.416992 59.658813 468.38226
1.976 1.955 -0.43945313 47.943115 410.9375 13.416992 59.658813 468.38226
1.997 1.975 -0.1663208 48.75641 409.34448 13.416992 59.658813 468.38226
2.017 1.996 -0.6881714 48.721313 409.44672 13.416992 59.658813 468.38226
2.036 2.016 -2.6367188 48.698425 410.01282 13.416992 59.658813 468.38226
2.057 2.036 -2.5054932 49.090576 410.64758 13.416992 59.658813 468.38226
2.076 2.056 -2.3849487 48.968506 410.60944 13.416992 59.658813 468.38226
2.096 2.076 -1.5823364 48.590088 409.90906 13.416992 59.658813 468.38226
2.118 2.096 -0.33416748 48.590088 408.20465 13.416992 59.658813 468.38226
2.135 2.116 -0.47302246 48.269653 408.96606 13.416992 59.658813 468.38226
2.156 2.137 -1.0742188 47.947693 410.83374 13.416992 59.658813 468.38226
2.175 2.157 -1.6693115 49.256897 410.4843 13.416992 59.658813 468.38226
2.195 2.177 -1.979065 49.050903 410.28442 13.416992 59.658813 468.38226
2.216 2.197 -2.9403687 48.962402 409.46808 13.416992 59.658813 468.38226
2.236 2.217 -3.5064697 49.75586 408.69293 13.416992 59.658813 468.38226
2.255 2.237 -2.59552 49.414063 408.47168 13.416992 59.658813 468.38226
2.275 2.257 -0.42266846 48.6969 408.32977 13.416992 59.658813 468.38226
2.296 2.278 0.33416748 48.590088 408.8562 13.416992 59.658813 468.38226
2.314 2.298 -0.3555298 48.77777 409.04083 13.416992 59.658813 468.38226
2.336 2.318 -1.6326904 49.475098 409.21936 13.416992 59.658813 468.38226
2.355 2.338 -1.8371582 50.0885 409.01794 13.416992 59.658813 468.38226
2.374 2.358 -1.361084 50.561523 409.21783 13.416992 59.658813 468.38226
2.396 2.378 -1.5762329 51.182556 409.03168 13.416992 59.658813 468.38226
2.415 2.398 -2.8381348 51.086426 408.3664 13.416992 59.658813 468.38226
2.434 2.419 -2.3239136 50.42572 408.86993 13.416992 59.658813 468.38226
2.455 2.439 -1.8966675 50.265503 408.99353 13.416992 59.658813 468.38226
2.473 2.459 -2.1713257 51.086426 408.3664 13.416992 59.658813 468.38226
2.493 2.479 -1.6174316 51.00708 408.75397 13.416992 59.658813 468.38226
2.516 2.499 -1.083374 51.644897 408.78754 13.416992 59.658813 468.38226
2.533 2.519 -1.1688232 52.418518 408.3664 13.416992 59.658813 468.38226
2.554 2.539 -2.1850586 52.418518 408.0368 13.416992 59.658813 468.38226
2.573 2.559 -2.0492554 51.81427 407.8003 13.416992 59.658813 468.38226
2.593 2.580 -1.0025024 51.252747 407.8781 13.416992 59.658813 468.38226
2.612 2.600 -1.3641357 51.431274 408.0551 13.416992 59.658813 468.38226
2.633 2.620 -2.4993896 52.227783 408.11615 13.416992 59.658813 468.38226
2.653 2.640 -3.1723022 52.75116 408.04138 13.416992 59.658813 468.38226
2.673 2.660 -2.3101807 51.890564 407.3883 13.416992 59.658813 468.38226
2.693 2.680 -1.3778687 52.322388 407.37762 13.416992 59.658813 468.38226
2.713 2.700 -1.1688232 53.0838 407.71484 13.416992 59.658813 468.38226
2.733 2.721 -1.8783569 52.78015 407.81403 13.416992 59.658813 468.38226
2.754 2.741 -2.029419 52.48108 407.5775 13.416992 59.658813 468.38226
2.773 2.761 -1.8371582 52.418518 407.38983 13.416992 59.658813 468.38226
2.798 2.781 -2.0523071 52.630615 406.76422 13.416992 59.658813 468.38226
2.813 2.801 -0.8666992 52.75116 406.62537 13.416992 59.658813 468.38226
2.834 2.821 -0.1663208 52.75116 406.73828 13.416992 59.658813 468.38226
2.853 2.841 -0.5050659 52.86255 406.84967 13.416992 59.658813 468.38226
2.873 2.862 -1.1260986 52.005005 406.0089 13.416992 59.658813 468.38226
2.896 2.882 -1.3366699 51.58539 405.59692 13.416992 59.658813 468.38226
2.912 2.902 -2.279663 53.230286 405.59692 13.416992 59.658813 468.38226
2.932 2.922 -1.234436 53.437805 405.59692 13.416992 59.658813 468.38226
2.953 2.942 -0.66833496 53.250122 405.59692 13.416992 59.658813 468.38226
2.973 2.962 -0.42266846 52.264404 405.11627 13.416992 59.658813 468.38226
2.992 2.982 -0.45928955 54.040527 405.80292 13.416992 59.658813 468.38226
3.012 3.003 -0.5004883 54.74701 406.08673 13.416992 59.658813 468.38226
3.033 3.023 -1.0177612 54.74701 406.3385 13.416992 59.658813 468.38226
3.054 3.043 -0.77667236 54.615784 405.26276 13.416992 59.658813 468.38226
3.076 3.063 -0.66833496 54.58069 404.94537 13.416992 59.658813 468.38226
3.093 3.083 -1.8814087 54.98352 406.39343 13.416992 59.658813 468.38226
3.114 3.103 -0.94299316 55.488586 406.34003 13.416992 59.658813 468.38226
3.131 3.123 -0.66833496 55.58014 406.25 13.416992 59.658813 468.38226
3.151 3.144 -1.9302368 55.99823 406.1142 13.416992 59.658813 468.38226
3.171 3.164 -1.1764526 55.937195 404.83856 13.416992 59.658813 468.38226
3.194 3.184 -1.0025024 55.91278 404.62036 13.416992 59.658813 468.38226
3.212 3.204 -0.27313232 57.50885 406.1844 13.416992 59.658813 468.38226
3.232 3.224 -0.6072998 56.428528 406.27136 13.416992 59.658813 468.38226
3.260 3.244 -0.66833496 56.245422 406.25 13.416992 59.658813 468.38226
3.277 3.264 -1.4175415 56.095886 404.9347 13.416992 59.658813 468.38226
3.295 3.285 -0.13885498 54.718018 406.11572 13.416992 59.658813 468.38226
3.311 3.305 0.0 54.58069 406.25 13.416992 59.658813 468.38226
3.333 3.325 1.2435913 53.96118 406.55365 13.416992 59.658813 468.38226
3.352 3.345 1.8096924 53.442383 406.11267 13.416992 59.658813 468.38226
3.373 3.365 1.8371582 53.416443 406.08673 13.416992 59.658813 468.38226
3.391 3.385 1.0314941 53.897095 405.3009 13.416992 59.658813 468.38226
3.415 3.405 0.024414063 55.862427 406.2271 13.416992 59.658813 468.38226
3.434 3.426 0.0 55.91278 406.25 13.416992 59.658813 468.38226
3.453 3.446 -1.6677856 58.23822 405.27344 13.416992 59.658813 468.38226
3.493 3.466 -0.83465576 60.40497 404.4571 13.416992 59.658813 468.38226
3.517 3.486 -0.831604 60.357666 404.46777 13.416992 59.658813 468.38226
3.539 3.506 -0.69885254 58.262634 404.95605 13.416992 59.658813 468.38226
3.552 3.526 -1.6693115 58.90808 405.2719 13.416992 59.658813 468.38226
3.577 3.546 -1.5716553 58.792114 405.28107 13.416992 59.658813 468.38226
3.590 3.567 0.15411377 56.88324 405.46722 13.416992 59.658813 468.38226
3.609 3.587 0.0 58.90808 405.92346 13.416992 59.658813 468.38226
3.629 3.607 0.13275146 58.95233 405.79376 13.416992 59.658813 468.38226
3.648 3.627 1.2191772 59.223938 404.57153 13.416992 59.658813 468.38226
3.670 3.647 -1.3366699 57.57599 405.59692 13.416992 59.658813 468.38226
3.689 3.667 -1.1962891 57.71637 405.65643 13.416992 59.658813 468.38226
3.709 3.687 -0.30059814 58.695984 405.95703 13.416992 59.658813 468.38226
3.730 3.708 -1.1688232 58.40912 405.10864 13.416992 59.658813 468.38226
3.749 3.728 -1.4007568 58.433533 404.98352 13.416992 59.658813 468.38226
3.769 3.748 -2.5909424 58.927917 404.3747 13.416992 59.658813 468.38226
3.792 3.768 -2.1713257 60.73761 404.78363 13.416992 59.658813 468.38226
3.812 3.788 -1.826477 60.580444 405.06134 13.416992 59.658813 468.38226
3.830 3.808 -0.10223389 60.005188 406.02417 13.416992 59.658813 468.38226
3.852 3.828 0.83465576 60.40497 405.10864 13.416992 59.658813 468.38226
3.872 3.849 0.50201416 60.29358 405.07355 13.416992 59.658813 468.38226
3.893 3.869 -0.7461548 59.9823 405.02167 13.416992 59.658813 468.38226
3.920 3.889 -1.0025024 60.238647 405.2719 13.416992 59.658813 468.38226
3.932 3.909 -1.0025024 60.40802 405.10712 13.416992 59.658813 468.38226
3.955 3.929 -0.46844482 61.346436 404.70734 13.416992 59.658813 468.38226
3.972 3.949 1.0025024 62.568665 404.94537 13.416992 59.658813 468.38226
3.998 3.969 0.9536743 61.94763 404.61884 13.416992 59.658813 468.38226
4.011 3.990 0.5371094 60.40497 403.80554 13.416992 59.658813 468.38226
4.028 4.010 -0.1663208 60.40497 403.80554 13.416992 59.658813 468.38226
4.047 4.030 0.15563965 59.97467 404.12292 13.416992 59.658813 468.38226
4.068 4.050 0.9460449 58.740234 404.24042 13.416992 59.658813 468.38226
4.090 4.070 1.1688232 58.076477 403.154 13.416992 59.658813 468.38226
4.107 4.090 0.93078613 58.43048 403.50342 13.416992 59.658813 468.38226
4.128 4.110 0.5004883 58.706665 404.6112 13.416992 59.658813 468.38226
4.146 4.131 0.5004883 58.076477 405.43518 13.416992 59.658813 468.38226
4.167 4.151 0.7598877 58.721924 405.56183 13.416992 59.658813 468.38226
4.187 4.171 1.1016846 60.0708 405.04456 13.416992 59.658813 468.38226
4.207 4.191 1.0025024 60.57129 403.9688 13.416992 59.658813 468.38226
4.228 4.211 0.72784424 60.43396 403.9688 13.416992 59.658813 468.38226
4.250 4.231 0.061035156 60.508728 404.2343 13.416992 59.658813 468.38226
4.286 4.251 -0.33416748 60.90393 404.62036 13.416992 59.658813 468.38226
4.289 4.272 -0.12054443 61.117554 404.41132 13.416992 59.658813 468.38226
4.310 4.292 0.46081543 61.109924 404.13208 13.416992 59.658813 468.38226
4.328 4.312 0.83465576 60.73761 404.13208 13.416992 59.658813 468.38226
4.346 4.332 0.83465576 60.894775 404.13208 13.416992 59.658813 468.38226
4.367 4.352 1.3214111 60.746765 403.9749 13.416992 59.658813 468.38226
4.387 4.372 1.8371582 60.40497 403.80554 13.416992 59.658813 468.38226
4.408 4.392 1.423645 60.980225 404.37012 13.416992 59.658813 468.38226
4.428 4.413 0.74768066 61.654663 404.5349 13.416992 59.658813 468.38226
4.448 4.433 0.5004883 61.73706 404.13208 13.416992 59.658813 468.38226
4.469 4.453 0.9399414 61.123657 403.87573 13.416992 59.658813 468.38226
4.499 4.473 0.7965088 60.212708 404.1687 13.416992 59.658813 468.38226
4.510 4.493 0.33416748 59.906006 404.62036 13.416992 59.658813 468.38226
4.532 4.513 1.4511108 60.090637 404.07562 13.416992 59.658813 468.38226
4.554 4.533 2.3376465 61.001587 404.0161 13.416992 59.658813 468.38226
4.576 4.554 2.3376465 61.57074 404.29382 13.416992 59.658813 468.38226
4.604 4.574 2.734375 61.76758 403.714 13.416992 59.658813 468.38226
4.613 4.594 2.0965576 61.601257 404.00696 13.416992 59.658813 468.38226
4.630 4.614 1.5029907 61.40442 404.4571 13.416992 59.658813 468.38226
4.646 4.634 2.2384644 61.71875 404.56085 13.416992 59.658813 468.38226
4.671 4.654 1.385498 62.11548 404.2038 13.416992 59.658813 468.38226
4.686 4.674 0.66833496 62.236023 403.9688 13.416992 59.658813 468.38226
4.705 4.694 0.7827759 63.03711 404.97894 13.416992 59.658813 468.38226
4.726 4.715 1.6326904 62.149048 404.65546 13.416992 59.658813 468.38226
4.747 4.735 2.003479 61.57074 404.29382 13.416992 59.658813 468.38226
4.767 4.755 1.8875122 61.454773 403.9566 13.416992 59.658813 468.38226
4.787 4.775 2.0721436 61.169434 404.95605 13.416992 59.658813 468.38226
4.808 4.795 2.1713257 61.071777 405.43518 13.416992 59.658813 468.38226
4.828 4.815 1.3259888 61.912537 405.78918 13.416992 59.658813 468.38226
4.850 4.835 1.6204834 61.619568 405.32074 13.416992 59.658813 468.38226
4.869 4.856 1.8371582 61.40442 405.10864 13.416992 59.658813 468.38226
4.889 4.876 2.3468018 61.657715 405.6076 13.416992 59.658813 468.38226
4.920 4.896 1.7929077 61.50055 404.6051 13.416992 59.658813 468.38226
4.930 4.916 1.5029907 61.40442 404.13208 13.416992 59.658813 468.38226
4.950 4.936 1.3702393 61.00464 403.22266 13.416992 59.658813 468.38226
4.968 4.956 2.8198242 61.845398 403.6499 13.416992 59.658813 468.38226
4.989 4.976 3.1723022 62.069702 403.80554 13.416992 59.658813 468.38226
5.007 4.997 1.5029907 63.17749 405.16357 13.416992 59.658813 468.38226
5.029 5.017 1.5731812 61.917114 404.5105 13.416992 59.658813 468.38226
