timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1512180456.390113,0.103063,0.063717,0.750960,-0.000270,0.000573,0.000212,0.102672,-0.063674,-0.992675,-0.015377,0.009764,0.012191,57.045528,20.084476,79.498199,,,,,,,
1512180456.410102,0.103059,0.063673,0.750962,-0.001330,-0.000493,0.000194,0.102668,-0.063630,-0.992678,-0.003989,0.012696,0.000689,57.193874,19.709690,79.571747,,,,,,,
1512180456.430053,0.103068,0.063682,0.750955,-0.003468,0.000569,0.000164,0.102677,-0.063639,-0.992677,-0.015412,0.005335,0.014390,56.741360,19.184010,79.275330,,,,,,,
1512180456.450042,0.103041,0.063655,0.750967,-0.000246,-0.001556,-0.000861,0.102650,-0.063612,-0.992681,-0.001195,0.007811,-0.005350,56.966778,19.259357,79.423447,,,,,,,
1512180456.470061,0.103041,0.063688,0.750963,-0.003490,0.000564,0.001227,0.102651,-0.063645,-0.992679,-0.016927,0.009965,0.019733,56.966702,19.259357,79.273453,,,,,,,
1512180456.490050,0.103036,0.063636,0.750977,-0.000269,-0.000493,0.000205,0.102645,-0.063593,-0.992683,0.001252,0.010233,-0.004830,56.971264,20.234364,79.648895,,,,,,,
1512180456.510039,0.103037,0.063653,0.750958,-0.001345,0.000568,0.000190,0.102646,-0.063610,-0.992682,-0.018571,0.005046,0.015555,56.517818,19.483677,79.502380,,,,,,,
1512180456.530059,0.103044,0.063646,0.750957,0.000803,-0.000496,-0.000849,0.102654,-0.063603,-0.992682,-0.000451,0.009510,-0.006067,56.895107,20.009235,79.349426,,,,,,,
1512180456.550048,0.103044,0.063678,0.750953,-0.002422,-0.000508,0.000167,0.102653,-0.063635,-0.992680,-0.016883,0.010931,0.016316,56.817333,19.409122,79.199783,,,,,,,
1512180456.570037,0.103047,0.063657,0.750948,0.000798,-0.001566,-0.000854,0.102657,-0.063614,-0.992681,-0.001720,0.008042,-0.002925,56.743084,19.559010,79.350494,,,,,,,
1512180456.590055,0.103025,0.063669,0.750935,-0.003491,-0.000512,0.000151,0.102635,-0.063626,-0.992682,-0.013249,0.006528,0.019538,56.594051,19.783787,79.276886,,,,,,,
1512180456.610044,0.103002,0.063649,0.750924,0.001850,-0.001572,-0.000842,0.102611,-0.063606,-0.992686,-0.000896,0.005852,-0.006078,56.744137,19.784016,79.425598,,,,,,,
1512180456.630033,0.102996,0.063671,0.750921,-0.002406,0.000561,-0.000894,0.102606,-0.063628,-0.992685,-0.018179,0.012130,0.024835,56.744854,19.934010,79.500671,,,,,,,
1512180456.650054,0.102982,0.063625,0.750918,0.000781,-0.001575,-0.000856,0.102592,-0.063582,-0.992689,0.003823,0.008284,-0.010134,56.892483,19.409229,79.499161,,,,,,,
1512180456.670043,0.102977,0.063625,0.750912,-0.002419,-0.000513,-0.000899,0.102587,-0.063582,-0.992690,-0.019808,0.005980,0.020903,56.591808,19.258793,79.501633,,,,,,,
1512180456.690032,0.102973,0.063608,0.750912,0.001824,0.000558,0.000232,0.102584,-0.063565,-0.992691,0.002336,0.004361,-0.008468,56.896191,20.234241,79.499542,,,,,,,
1512180456.710021,0.102956,0.063607,0.750910,-0.003486,-0.000513,-0.000913,0.102566,-0.063564,-0.992693,-0.016415,0.009136,0.023394,56.745266,20.009022,79.650711,,,,,,,
1512180456.730040,0.102949,0.063577,0.750922,-0.000304,-0.000508,0.000201,0.102559,-0.063534,-0.992696,0.000392,0.009930,-0.007014,56.818951,19.709126,79.724930,,,,,,,
1512180456.750029,0.102925,0.063573,0.750921,-0.005616,-0.001579,-0.000945,0.102535,-0.063530,-0.992699,-0.011746,0.007393,0.023231,56.669811,19.933903,79.426300,,,,,,,
1512180456.770019,0.102906,0.063566,0.750925,0.000765,-0.001574,-0.000855,0.102517,-0.063524,-0.992701,-0.003411,0.003587,-0.010488,56.595974,20.158787,79.727051,,,,,,,
1512180456.790038,0.102894,0.063599,0.750937,-0.003538,-0.001584,0.001215,0.102505,-0.063556,-0.992700,-0.016904,0.011066,0.026803,56.216351,19.183231,79.279785,,,,,,,
1512180456.810027,0.102892,0.063562,0.750939,-0.000289,0.001641,-0.000855,0.102503,-0.063520,-0.992703,0.002935,0.004560,-0.010395,56.520443,20.083683,79.352646,,,,,,,
1512180456.830016,0.102895,0.063566,0.750916,-0.002427,0.000570,-0.000891,0.102506,-0.063524,-0.992702,-0.016080,0.008851,0.021709,56.744396,19.859013,79.275635,,,,,,,
1512180456.850035,0.102898,0.063565,0.750899,0.001828,0.000575,-0.000831,0.102509,-0.063522,-0.992702,0.002944,0.002853,-0.010640,56.669170,19.783909,79.501236,,,,,,,
1512180456.870024,0.102897,0.063573,0.750886,-0.003501,0.000569,-0.000907,0.102508,-0.063531,-0.992701,-0.019577,0.011285,0.026530,56.519878,19.933674,79.577576,,,,,,,
