gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.456 0.442 -0.0079193115 -0.15150452 -0.121658325 0.0326233 0.006210327 -0.0043640137
0.474 0.463 -0.03652954 -0.11456299 -0.15434265 0.0326233 0.006210327 -0.0043640137
0.495 0.483 -0.061538696 -0.07507324 -0.18713379 0.0326233 0.006210327 -0.0043640137
0.536 0.503 -0.086746216 -0.060928345 -0.19137573 0.0326233 0.006210327 -0.0043640137
0.536 0.523 -0.098739624 -0.06640625 -0.16920471 0.0326233 0.006210327 -0.0043640137
0.558 0.543 -0.086868286 -0.08351135 -0.15893555 0.0326233 0.006210327 -0.0043640137
0.574 0.563 -0.058883667 -0.09107971 -0.14538574 0.0326233 0.006210327 -0.0043640137
0.595 0.583 -0.037643433 -0.060317993 -0.14137268 0.0326233 0.006210327 -0.0043640137
0.614 0.604 -0.046554565 -0.02619934 -0.15769958 0.0326233 0.006210327 -0.0043640137
0.634 0.624 -0.068847656 -0.020401001 -0.16285706 0.0326233 0.006210327 -0.0043640137
0.656 0.644 -0.072906494 -0.02571106 -0.14828491 0.0326233 0.006210327 -0.0043640137
0.675 0.664 -0.07627869 -0.00944519 -0.10832214 0.0326233 0.006210327 -0.0043640137
0.694 0.684 -0.092056274 0.024887085 -0.03555298 0.0326233 0.006210327 -0.0043640137
0.718 0.704 -0.08392334 0.019805908 0.048965454 0.0326233 0.006210327 -0.0043640137
0.736 0.724 -0.023254395 0.025390625 0.16442871 0.0326233 0.006210327 -0.0043640137
0.755 0.745 0.038986206 0.04623413 0.24855042 0.0326233 0.006210327 -0.0043640137
0.777 0.765 0.053329468 0.030410767 0.2975769 0.0326233 0.006210327 -0.0043640137
0.800 0.785 0.060440063 0.050125122 0.36283875 0.0326233 0.006210327 -0.0043640137
0.816 0.805 0.14466858 0.16789246 0.46047974 0.0326233 0.006210327 -0.0043640137
0.836 0.825 0.22276306 0.29389954 0.5325165 0.0326233 0.006210327 -0.0043640137
0.855 0.845 0.27330017 0.35534668 0.55410767 0.0326233 0.006210327 -0.0043640137
0.876 0.865 0.353302 0.3801422 0.5562439 0.0326233 0.006210327 -0.0043640137
0.897 0.886 0.41238403 0.39308167 0.5796356 0.0326233 0.006210327 -0.0043640137
0.917 0.906 0.39179993 0.4211731 0.5922394 0.0326233 0.006210327 -0.0043640137
0.936 0.926 0.34545898 0.43551636 0.56973267 0.0326233 0.006210327 -0.0043640137
0.957 0.946 0.3352661 0.42793274 0.52874756 0.0326233 0.006210327 -0.0043640137
0.976 0.966 0.3418579 0.46087646 0.5254669 0.0326233 0.006210327 -0.0043640137
0.996 0.986 0.30273438 0.5283661 0.5421295 0.0326233 0.006210327 -0.0043640137
