gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
2.683 2.663 -0.0642395 -0.0544281 -0.05883789
2.703 2.683 -0.045898438 0.009231567 -0.040130615
2.723 2.703 -0.029693604 -0.025283813 0.0032806396
2.745 2.723 -0.029327393 -0.052474976 0.018661499
2.763 2.743 -0.004776001 -0.050201416 0.076293945
2.783 2.763 0.03717041 -0.059631348 0.11680603
2.803 2.784 0.082351685 -0.03526306 0.1302948
2.823 2.804 0.11187744 -0.015777588 0.08656311
2.843 2.824 0.095840454 -0.05618286 0.023971558
2.864 2.844 -0.0056762695 -0.10531616 -0.028305054
2.884 2.864 -0.06904602 -0.093948364 -0.047714233
2.903 2.884 -0.07929993 -0.011688232 -0.05947876
2.924 2.904 -0.0773468 0.067871094 -0.07501221
2.944 2.925 -0.07243347 0.054733276 -0.0783844
2.964 2.945 -0.070510864 -0.040161133 -0.063323975
2.984 2.965 -0.066329956 -0.12394714 -0.04197693
3.006 2.985 -0.03717041 -0.113967896 -0.03236389
3.031 3.005 -0.018981934 -0.03768921 -0.015350342
3.044 3.025 -0.020492554 -0.005706787 -0.0032043457
3.065 3.045 -0.052642822 -0.031082153 -0.008544922
3.084 3.066 -0.11399841 -0.0105896 -0.013870239
3.104 3.086 -0.09399414 0.012680054 -0.023910522
3.126 3.106 -0.024276733 -0.008331299 -0.053085327
3.144 3.126 0.02999878 -0.072753906 -0.09220886
3.164 3.146 0.029891968 -0.096191406 -0.08760071
3.186 3.166 0.013458252 -0.040374756 -0.024856567
3.205 3.186 -0.0131073 -0.0546875 0.009536743
3.234 3.207 -0.082717896 -0.1415863 0.02079773
3.246 3.227 -0.11703491 -0.16877747 0.0056915283
3.264 3.247 -0.04171753 -0.12063599 -0.036636353
3.285 3.267 0.058547974 -0.059249878 -0.048355103
3.304 3.287 0.058517456 -0.013366699 -0.062469482
3.325 3.307 0.045394897 0.02760315 -0.073638916
3.345 3.327 0.13101196 0.0063323975 -0.074142456
3.365 3.348 0.16694641 0.003829956 -0.027755737
3.385 3.368 0.07803345 0.025390625 0.05116272
3.408 3.388 -0.008987427 0.004760742 0.1239624
3.428 3.408 0.031204224 0.0012664795 0.15298462
3.448 3.428 0.14099121 -0.07217407 0.12182617
3.466 3.448 0.14009094 -0.23893738 0.087387085
3.488 3.468 -0.0070648193 -0.30838013 0.13555908
3.505 3.489 -0.13768005 -0.23104858 0.22741699
3.524 3.509 -0.16584778 -0.091537476 0.28663635
3.545 3.529 -0.08416748 -0.013046265 0.31488037
3.567 3.549 0.015625 0.02772522 0.33607483
3.587 3.569 0.096969604 0.072753906 0.33755493
3.606 3.589 0.13841248 0.086517334 0.34048462
3.625 3.609 0.12364197 0.062164307 0.33363342
3.649 3.630 0.117889404 0.11997986 0.28901672
3.668 3.650 0.16932678 0.2007904 0.25083923
3.688 3.670 0.23284912 0.2131195 0.23324585
3.708 3.690 0.25671387 0.19328308 0.2205658
3.729 3.710 0.20315552 0.1688385 0.2207489
3.747 3.730 0.15315247 0.12402344 0.2236023
3.766 3.750 0.13204956 0.108047485 0.23587036
3.788 3.771 0.09425354 0.14228821 0.2320404
3.806 3.791 0.086380005 0.16377258 0.18553162
3.826 3.811 0.12246704 0.11930847 0.13964844
3.846 3.831 0.14247131 0.0907135 0.08255005
3.869 3.851 0.1686554 0.11657715 0.031417847
3.891 3.871 0.19361877 0.09375 0.0317688
3.907 3.891 0.15818787 0.055038452 0.06138611
3.925 3.912 0.09057617 0.044677734 0.10621643
3.954 3.932 0.072265625 0.03916931 0.15525818
3.966 3.952 0.114608765 0.029785156 0.17411804
3.986 3.972 0.0975647 -0.0073242188 0.20689392
4.006 3.992 0.010253906 -0.03453064 0.24815369
4.028 4.012 -0.033569336 -0.0050811768 0.23988342
4.046 4.032 -0.029174805 0.016616821 0.1843872
