gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.451 0.436 0.06680298 0.15885925 0.053085327
0.469 0.456 0.0060577393 0.17098999 0.020080566
0.501 0.476 -0.0155181885 0.16795349 -0.01171875
0.514 0.496 0.015533447 0.1437378 -0.018005371
0.528 0.516 0.07350159 0.138031 0.00630188
0.547 0.536 0.124694824 0.1646576 0.019714355
0.569 0.556 0.14282227 0.19282532 0.002532959
0.589 0.577 0.12451172 0.17408752 -0.015014648
0.607 0.597 0.107437134 0.18395996 -0.0068969727
0.629 0.617 0.14152527 0.22512817 0.019058228
0.647 0.637 0.1980133 0.23809814 0.043518066
0.668 0.657 0.21517944 0.22991943 0.05947876
0.688 0.677 0.1912384 0.22418213 0.0769043
0.708 0.697 0.12837219 0.21047974 0.09883118
0.728 0.718 0.077682495 0.21282959 0.115356445
0.748 0.738 0.029052734 0.20349121 0.11427307
0.768 0.758 0.010574341 0.21261597 0.10630798
0.788 0.778 0.041030884 0.21109009 0.12120056
0.808 0.798 0.09832764 0.24015808 0.14961243
0.828 0.818 0.13612366 0.22554016 0.15492249
0.848 0.838 0.13621521 0.19432068 0.14239502
0.869 0.859 0.10987854 0.21398926 0.13423157
0.892 0.879 0.114486694 0.18495178 0.11503601
0.908 0.899 0.13040161 0.19544983 0.08152771
0.928 0.919 0.15583801 0.24707031 0.061676025
0.947 0.939 0.15927124 0.22077942 0.11430359
0.967 0.959 0.14872742 0.27838135 0.15557861
0.989 0.979 0.12095642 0.22819519 0.17539978
1.007 1.000 0.0896759 0.2140503 0.18128967
1.027 1.020 0.10884094 0.25720215 0.17674255
1.047 1.040 0.13925171 0.33306885 0.12965393
1.067 1.060 0.11431885 0.33277893 0.03642273
1.089 1.080 0.05441284 0.26657104 0.0032196045
1.108 1.100 -0.007583618 0.20150757 0.015670776
1.127 1.120 -0.06729126 0.17684937 0.013244629
1.147 1.141 -0.0970459 0.16619873 0.011932373
1.168 1.161 -0.035202026 0.19213867 0.011047363
1.188 1.181 0.079208374 0.20503235 0.043640137
1.207 1.201 0.13371277 0.18133545 0.06411743
1.228 1.221 0.13214111 0.2003479 0.04534912
1.247 1.241 0.11593628 0.17979431 0.01373291
1.267 1.261 0.012954712 0.25253296 -0.02255249
1.289 1.282 -0.122177124 0.25427246 -0.04446411
1.308 1.302 -0.15666199 0.25038147 -0.03225708
1.327 1.322 -0.12716675 0.23342896 -0.0033416748
1.346 1.342 -0.13018799 0.25524902 -8.8500977E-4
1.367 1.362 -0.08085632 0.3074646 0.0021209717
1.387 1.382 -0.09249878 0.23324585 0.011413574
1.407 1.402 -0.05241394 0.20874023 0.024932861
1.426 1.423 -0.008453369 0.28857422 0.05050659
1.446 1.443 -0.007888794 0.2471466 0.051452637
1.468 1.463 0.0013122559 0.28892517 0.065826416
1.488 1.483 0.046051025 0.20298767 0.1340332
1.507 1.503 0.11160278 0.23294067 0.20942688
1.527 1.523 0.07899475 0.115859985 0.28974915
1.566 1.543 0.016921997 0.25587463 0.2808838
1.588 1.564 0.03390503 0.41551208 0.19554138
1.606 1.584 -0.002456665 0.15356445 0.10211182
1.626 1.604 0.00793457 0.42951965 -0.01687622
1.648 1.624 0.032928467 0.49464417 -0.039764404
1.671 1.644 0.12579346 0.36943054 -0.025115967
1.687 1.664 0.25497437 0.3276825 0.040130615
1.706 1.684 0.2239685 0.19770813 0.13917542
1.726 1.705 0.17138672 0.2722931 0.22679138
1.746 1.725 0.14520264 0.41397095 0.34994507
1.767 1.745 0.19282532 0.39782715 0.39311218
1.787 1.765 0.20178223 0.3070984 0.36799622
1.806 1.785 -0.022781372 0.3236084 0.307724
1.826 1.805 -0.37043762 0.42884827 0.21000671
1.847 1.825 -0.49879456 0.5147095 0.18130493
1.865 1.846 -0.30014038 0.48187256 0.16740417
1.887 1.866 0.0043182373 0.48020935 0.20341492
1.906 1.886 0.12922668 0.4694214 0.2431488
1.926 1.906 0.11627197 0.45291138 0.21392822
1.945 1.926 0.0717926 0.4282074 0.13327026
1.967 1.946 0.08103943 0.4564209 0.055999756
1.986 1.966 0.1451416 0.44004822 0.015945435
2.005 1.987 0.20864868 0.36764526 -0.010269165
2.025 2.007 0.25706482 0.36029053 -0.003753662
2.045 2.027 0.2657318 0.38227844 0.031829834
2.066 2.047 0.23023987 0.32595825 0.08734131
2.084 2.067 0.19328308 0.27209473 0.13702393
2.105 2.087 0.14350891 0.28445435 0.18318176
2.125 2.107 0.11476135 0.3506317 0.15808105
2.145 2.128 0.09667969 0.3911438 0.1390686
2.164 2.148 0.07218933 0.3788452 0.12088013
2.185 2.168 0.076171875 0.3614502 0.14241028
2.205 2.188 0.08052063 0.28657532 0.21903992
2.224 2.208 0.056228638 0.2444458 0.28710938
2.247 2.228 0.009567261 0.23861694 0.28250122
2.265 2.248 -0.061538696 0.31478882 0.16253662
2.285 2.269 -0.104400635 0.42356873 -0.031463623
2.306 2.289 -0.06486511 0.34344482 -0.15646362
2.325 2.309 0.04588318 0.23887634 -0.123184204
2.348 2.329 0.14395142 0.1673584 -0.030761719
2.367 2.349 0.17167664 0.18360901 0.06687927
2.385 2.369 0.14819336 0.13383484 0.1600647
2.405 2.389 0.108291626 0.1113739 0.1716156
2.425 2.410 0.09388733 0.19924927 0.12902832
2.446 2.430 0.13294983 0.25102234 0.090164185
2.464 2.450 0.16845703 0.2516327 0.11039734
2.484 2.470 0.15200806 0.24101257 0.18391418
2.504 2.490 0.07562256 0.19418335 0.25323486
2.525 2.510 0.011459351 0.23789978 0.24665833
2.548 2.530 -0.020614624 0.2567749 0.19021606
2.564 2.550 -0.035858154 0.17471313 0.18113708
2.585 2.571 -0.024932861 0.12710571 0.20021057
2.605 2.591 0.024154663 0.18060303 0.20579529
2.623 2.611 0.09408569 0.2128601 0.1569519
2.645 2.631 0.12084961 0.17597961 0.07307434
2.664 2.651 0.07034302 0.16720581 0.022155762
2.683 2.671 -0.0061798096 0.1579895 0.013015747
2.704 2.691 -0.033203125 0.1295929 0.012954712
2.724 2.712 -0.0032348633 0.07672119 0.037017822
2.746 2.732 0.041000366 0.09057617 0.05886841
2.764 2.752 0.08207703 0.15887451 0.052581787
2.784 2.772 0.115875244 0.15197754 0.03126526
2.806 2.792 0.14897156 0.11872864 0.041763306
2.825 2.812 0.1381836 0.12234497 0.060455322
2.846 2.832 0.08912659 0.16799927 0.034866333
2.864 2.853 0.040527344 0.13208008 -7.019043E-4
2.884 2.873 0.018112183 0.08428955 9.1552734E-4
2.906 2.893 0.021987915 0.07104492 0.06439209
2.924 2.913 0.062301636 0.07537842 0.1530304
2.946 2.933 0.13949585 0.05278015 0.22439575
2.964 2.953 0.1446991 0.04411316 0.2482605
2.984 2.973 0.07395935 0.09246826 0.20655823
3.005 2.994 -0.030288696 0.11657715 0.12043762
3.049 3.014 -0.07997131 0.1402893 0.042434692
3.049 3.034 -0.08518982 0.07652283 0.06402588
3.064 3.054 -0.07826233 0.10064697 0.09692383
3.084 3.074 -0.033813477 0.099594116 0.056625366
3.104 3.094 0.03326416 0.029067993 0.024276733
3.124 3.114 0.028961182 -0.006210327 0.038406372
3.144 3.135 -8.392334E-4 0.042266846 0.06573486
