gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.468 0.435 -0.0043792725 -0.047683716 -0.06892395
0.524 0.455 0.014266968 -0.007751465 -0.06048584
0.524 0.475 0.035095215 -0.003967285 -0.02079773
0.524 0.495 0.02432251 -2.746582E-4 -0.0053710938
0.535 0.516 0.015731812 0.0138549805 0.0055389404
0.555 0.536 -0.0067596436 0.018722534 0.013839722
0.575 0.556 -0.0099487305 0.051635742 0.026046753
0.595 0.576 0.026351929 0.0868988 0.009796143
0.615 0.596 0.050216675 0.13838196 -0.028182983
0.635 0.616 0.011749268 0.17773438 -0.050186157
0.656 0.636 -0.05810547 0.220932 -0.057495117
0.675 0.657 -0.04043579 0.29431152 -0.07156372
0.696 0.677 -0.033187866 0.2414093 -0.09706116
0.717 0.697 -0.078948975 0.119277954 -0.10255432
0.736 0.717 -0.097579956 0.09283447 -0.057540894
0.760 0.737 -0.11065674 0.15553284 -0.038238525
0.777 0.757 -0.06654358 0.20785522 -0.06362915
0.795 0.777 0.024520874 0.1855774 -0.081604004
0.816 0.798 0.047470093 0.09829712 -0.09753418
0.838 0.818 0.10121155 0.027008057 -0.11074829
0.856 0.838 0.1582489 -0.068222046 -0.14424133
0.876 0.858 0.16589355 -0.031463623 -0.14356995
0.895 0.878 0.1512146 -0.016525269 -0.15782166
0.916 0.898 0.10618591 -0.061264038 -0.1758728
0.935 0.918 0.06929016 -0.01612854 -0.13298035
0.956 0.939 0.005432129 0.057510376 -0.062332153
0.975 0.959 -0.044189453 0.0539093 -0.035598755
0.995 0.979 -0.03604126 0.06919861 -0.047851563
1.016 0.999 -0.027023315 0.09806824 -0.041748047
1.036 1.019 -0.037353516 0.08403015 -2.4414063E-4
1.056 1.039 -0.11853027 0.025268555 0.019256592
1.075 1.059 -0.24822998 0.07107544 0.02154541
1.095 1.080 -0.29240417 0.12757874 0.053344727
1.115 1.100 -0.23692322 0.13188171 0.06892395
1.136 1.120 -0.18222046 0.14663696 0.029434204
1.156 1.140 -0.1640625 0.17327881 -0.024261475
1.177 1.160 -0.14761353 0.1508789 -0.026977539
1.196 1.180 -0.048675537 0.08181763 -0.006866455
1.218 1.200 0.034973145 0.073913574 -0.016601563
1.236 1.221 0.018356323 0.12501526 -0.020309448
1.257 1.241 -0.045700073 0.14123535 -0.028335571
1.276 1.261 -0.13641357 0.10179138 -0.03627014
1.296 1.281 -0.23504639 0.058670044 -0.055419922
1.316 1.301 -0.31410217 0.05680847 -0.1300354
1.336 1.321 -0.34873962 0.058563232 -0.23202515
1.357 1.341 -0.265213 0.043945313 -0.2830658
1.376 1.362 -0.17462158 0.036224365 -0.27644348
1.396 1.382 -0.20870972 0.06367493 -0.22303772
1.416 1.402 -0.31488037 0.12722778 -0.15481567
1.436 1.422 -0.34735107 0.13554382 -0.110321045
1.456 1.442 -0.3171234 0.09312439 -0.09020996
1.476 1.462 -0.325943 0.08427429 -0.021148682
1.501 1.482 -0.36773682 0.0793457 0.060836792
1.517 1.503 -0.3581848 0.05557251 0.081970215
1.536 1.523 -0.2922821 0.05189514 0.07458496
1.557 1.543 -0.1786499 0.047607422 0.06552124
1.576 1.563 -0.062942505 0.03489685 0.05482483
1.600 1.583 -0.027023315 0.033340454 0.05053711
1.616 1.603 -0.0040130615 0.07556152 0.05380249
1.636 1.623 0.060821533 0.14152527 0.09375
1.656 1.644 0.046325684 0.13323975 0.16104126
1.677 1.664 -0.049209595 0.039596558 0.19509888
1.697 1.684 -0.07589722 -0.01852417 0.18399048
1.717 1.704 -0.005050659 0.040481567 0.16304016
1.737 1.724 0.036331177 0.1157074 0.1322937
1.759 1.744 -0.030960083 0.038848877 0.06686401
1.777 1.764 -0.101257324 -0.1361084 -0.025177002
1.797 1.785 -0.040405273 -0.2053833 -0.16821289
1.818 1.805 0.12384033 -0.1098938 -0.33384705
1.837 1.825 0.28604126 0.020568848 -0.4379425
1.858 1.845 0.3296051 0.04812622 -0.440979
1.878 1.865 0.25154114 -0.08131409 -0.33996582
1.897 1.885 0.17538452 -0.2498169 -0.1860199
1.918 1.905 0.17115784 -0.27648926 -0.04119873
1.937 1.926 0.23144531 -0.21429443 0.07722473
1.957 1.946 0.23716736 -0.22320557 0.21005249
1.980 1.966 0.15330505 -0.30026245 0.35655212
1.997 1.986 0.12902832 -0.2814026 0.46092224
2.018 2.006 0.26504517 -0.14886475 0.4881897
2.037 2.026 0.44436646 -0.011962891 0.48892212
2.057 2.046 0.57559204 0.1111145 0.5260773
2.077 2.067 0.6860504 0.20237732 0.6396942
2.097 2.087 0.755188 0.22587585 0.7477112
2.118 2.107 0.72366333 0.27745056 0.7861023
2.139 2.127 0.6092529 0.2949829 0.8125763
2.159 2.147 0.42166138 0.17437744 0.85139465
2.178 2.167 0.27626038 0.03451538 0.8847351
2.200 2.187 0.3058319 0.016220093 0.83303833
2.218 2.208 0.4613495 0.10862732 0.72569275
2.237 2.228 0.5650635 0.19909668 0.6775818
2.259 2.248 0.59225464 0.2370758 0.6773071
2.279 2.268 0.54455566 0.24084473 0.705719
2.298 2.288 0.40446472 0.17373657 0.74186707
2.317 2.308 0.27938843 0.06341553 0.7467346
2.340 2.328 0.27098083 0.057739258 0.67170715
2.358 2.349 0.29212952 0.09768677 0.58509827
2.377 2.369 0.2824402 0.11869812 0.57499695
2.398 2.389 0.22183228 0.14085388 0.587204
2.420 2.409 0.07362366 0.14111328 0.57777405
2.438 2.429 -0.116882324 0.031173706 0.5469513
2.459 2.449 -0.19639587 -0.07223511 0.53637695
2.478 2.469 -0.2517395 -0.08135986 0.55563354
2.498 2.490 -0.3060608 -0.015975952 0.54447937
2.518 2.510 -0.3002777 -0.019241333 0.50149536
2.538 2.530 -0.27340698 -0.09883118 0.45758057
2.558 2.550 -0.25926208 -0.12535095 0.36799622
2.579 2.570 -0.23919678 -0.11628723 0.25613403
2.598 2.590 -0.1663971 -0.06552124 0.15435791
2.619 2.610 -0.06665039 -4.8828125E-4 0.0980072
2.640 2.630 0.018493652 0.038024902 0.035354614
2.658 2.651 0.065826416 0.016113281 -0.024337769
2.679 2.671 0.075149536 1.373291E-4 -0.053833008
2.698 2.691 0.06954956 -0.006164551 -0.051879883
2.723 2.711 0.0063934326 -0.01322937 -0.0390625
2.738 2.731 -0.061065674 4.8828125E-4 -0.03868103
2.758 2.751 -0.07928467 0.019836426 -0.012786865
2.779 2.771 -0.062469482 0.033981323 0.024795532
2.799 2.792 -0.04510498 0.0625 0.020080566
2.821 2.812 0.0033569336 0.099105835 -0.02293396
2.839 2.832 0.07421875 0.07241821 0.0033874512
2.859 2.852 0.061447144 -0.02507019 0.0826416
2.878 2.872 8.392334E-4 -0.076660156 0.13575745
2.898 2.892 0.061843872 -0.079574585 0.13522339
2.919 2.912 0.1378479 -0.041778564 0.10020447
2.938 2.933 0.13360596 0.012237549 0.077804565
2.958 2.953 0.11808777 0.03327942 0.053878784
2.980 2.973 0.10858154 -0.009841919 0.025466919
3.003 2.993 0.06843567 -0.007659912 -0.0025787354
3.052 3.013 0.033599854 0.08999634 -0.0034179688
3.056 3.033 0.008758545 0.20727539 0.023330688
3.068 3.053 -0.00920105 0.25346375 0.0695343
