timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1512177635.696290,0.399638,0.911787,-2.968341,-0.045548,-0.135932,0.006546,0.238250,-0.790599,-0.564083,-0.008407,-0.000157,0.029781,-29.474854,-15.915688,-36.159355,,,,,,,
1512177635.716279,0.396664,0.910184,-2.967896,-0.081135,-0.111334,-0.031191,0.237061,-0.789617,-0.565957,-0.029037,0.017659,0.022805,-29.701508,-16.291023,-36.082619,,,,,,,
1512177635.736299,0.395711,0.908772,-2.968251,-0.044832,-0.035440,-0.031469,0.236950,-0.788750,-0.567211,-0.015438,0.012459,0.003811,-29.472458,-15.390694,-36.084114,,,,,,,
1512177635.756288,0.395697,0.908430,-2.968523,-0.002588,-0.006587,-0.006239,0.237047,-0.788539,-0.567463,-0.000032,0.007411,-0.005931,-29.626663,-16.290916,-36.383247,,,,,,,
1512177635.776307,0.395489,0.908680,-2.968620,0.013207,-0.025813,0.004583,0.236852,-0.788693,-0.567331,0.010462,-0.007556,-0.009086,-29.474823,-15.915688,-36.084358,,,,,,,
1512177635.796296,0.394500,0.908857,-2.968438,-0.002787,-0.047189,0.005350,0.236238,-0.788802,-0.567436,0.001692,-0.003084,-0.000847,-29.476776,-16.365700,-35.934563,,,,,,,
1512177635.816316,0.393244,0.908625,-2.968168,-0.015548,-0.056824,0.001929,0.235595,-0.788659,-0.567901,0.000871,0.000924,-0.001130,-29.926285,-16.216362,-36.305656,,,,,,,
1512177635.836305,0.391753,0.908463,-2.967910,-0.006020,-0.064297,0.005237,0.234797,-0.788559,-0.568370,-0.004023,0.001297,0.005596,-29.251892,-16.365364,-36.161476,,,,,,,
1512177635.856294,0.390698,0.908329,-2.967735,-0.010267,-0.032254,0.006356,0.234237,-0.788477,-0.568715,-0.004287,0.005838,0.011525,-29.251587,-16.290352,-36.236443,,,,,,,
1512177635.876313,0.389560,0.908234,-2.967181,-0.010482,-0.044034,0.018035,0.233618,-0.788419,-0.569050,-0.001303,0.003125,0.001179,-29.702530,-16.516029,-36.082710,,,,,,,
1512177635.896302,0.388201,0.908148,-2.966581,-0.012520,-0.038685,0.012695,0.232870,-0.788366,-0.569430,-0.012121,0.000112,0.007952,-29.552979,-16.590813,-36.309029,,,,,,,
1512177635.916322,0.387640,0.908006,-2.966366,-0.009078,-0.015146,0.000038,0.232593,-0.788279,-0.569664,-0.001087,0.001505,0.006173,-29.929443,-16.966377,-35.856010,,,,,,,
1512177635.936295,0.386855,0.907836,-2.966247,-0.013449,-0.049350,0.004116,0.232197,-0.788174,-0.569971,0.012127,-0.002232,-0.002096,-29.548584,-15.690804,-35.633614,,,,,,,
1512177635.956313,0.385347,0.907590,-2.965933,-0.015580,-0.063241,0.002970,0.231410,-0.788022,-0.570500,-0.002833,-0.002657,0.007924,-29.548691,-15.690804,-35.858604,,,,,,,
1512177635.976302,0.384249,0.907383,-2.965480,-0.012489,-0.025863,0.011675,0.230844,-0.787895,-0.570905,-0.007913,0.003059,0.010923,-29.550430,-16.065804,-35.933784,,,,,,,
1512177635.996291,0.383442,0.907392,-2.964853,-0.009422,-0.010921,0.020299,0.230381,-0.787901,-0.571084,-0.012058,0.009657,0.008371,-29.549377,-15.840797,-35.858681,,,,,,,
1512177636.016311,0.382790,0.907215,-2.964301,-0.019916,-0.013057,0.009476,0.230061,-0.787791,-0.571364,-0.000279,0.005901,0.009062,-29.928680,-16.741371,-36.380913,,,,,,,
1512177636.036300,0.381852,0.906607,-2.963666,-0.047548,-0.024831,0.004775,0.229703,-0.787417,-0.572024,-0.001630,-0.001554,0.010409,-29.773926,-15.766136,-35.631737,,,,,,,
1512177636.056320,0.380915,0.905496,-2.962966,-0.061290,-0.019503,-0.002871,0.229492,-0.786732,-0.573051,-0.002029,0.002659,0.002921,-29.697342,-15.391029,-35.857201,,,,,,,
1512177636.076309,0.379809,0.904570,-2.962185,-0.044426,-0.022702,0.009090,0.229128,-0.786159,-0.573981,0.000318,0.002819,0.002417,-30.072647,-15.466591,-35.779045,,,,,,,
1512177636.096298,0.378936,0.904035,-2.961302,-0.031746,-0.002403,0.016807,0.228782,-0.785829,-0.574571,-0.001823,0.003465,0.005647,-29.924377,-15.841362,-35.855492,,,,,,,
1512177636.116318,0.378248,0.903574,-2.960607,-0.033717,-0.018409,0.006061,0.228521,-0.785544,-0.575064,-0.003896,-0.000955,-0.000726,-29.925049,-15.991371,-35.855568,,,,,,,
1512177636.136307,0.377353,0.902776,-2.960053,-0.051779,-0.016293,0.002609,0.228237,-0.785049,-0.575852,-0.007366,0.001449,0.006348,-30.301590,-16.291924,-36.227516,,,,,,,
1512177636.156327,0.376613,0.902090,-2.959143,-0.032770,-0.003465,0.014658,0.228009,-0.784624,-0.576521,-0.006405,0.007174,-0.009035,-29.697571,-15.466026,-35.632240,,,,,,,
1512177636.176316,0.376011,0.901791,-2.958426,-0.017844,-0.001304,0.014883,0.227748,-0.784439,-0.576876,-0.015590,0.005768,-0.012250,-29.847351,-15.391243,-35.855919,,,,,,,
1512177636.196334,0.376421,0.901930,-2.958018,0.017436,0.061776,0.011347,0.227944,-0.784525,-0.576681,-0.032647,0.024668,-0.026560,-29.846451,-15.166252,-36.080818,,,,,,,
1512177636.216323,0.379916,0.903336,-2.959201,0.134388,0.183809,-0.028110,0.229549,-0.785396,-0.574856,-0.078441,0.073421,-0.057758,-29.846222,-15.166252,-35.630821,,,,,,,
1512177636.236312,0.390658,0.908848,-2.964191,0.440723,0.431054,-0.038801,0.234059,-0.788796,-0.568346,-0.048878,0.075982,-0.108061,-29.547577,-15.465797,-35.633507,,,,,,,
1512177636.256332,0.407669,0.920696,-2.973106,0.763288,0.531892,-0.007128,0.239970,-0.796023,-0.555663,-0.017146,0.035876,-0.109743,-29.250351,-16.065361,-35.786339,,,,,,,
1512177636.276321,0.427413,0.936186,-2.984408,0.884778,0.504306,-0.005461,0.245753,-0.805303,-0.539530,0.010473,0.008885,-0.061834,-28.802414,-16.514687,-35.865364,,,,,,,
1512177636.296340,0.445725,0.950873,-2.997224,0.786287,0.341880,-0.053295,0.250464,-0.813923,-0.524211,0.013009,-0.003735,0.023280,-28.130035,-17.113670,-35.721382,,,,,,,
1512177636.316329,0.459967,0.961546,-3.009209,0.561828,0.186718,-0.090136,0.254034,-0.820077,-0.512777,0.021662,-0.043219,0.106237,-27.760117,-18.238121,-35.725090,,,,,,,
1512177636.336349,0.468379,0.967001,-3.019150,0.243944,-0.137168,-0.222728,0.256314,-0.823187,-0.506622,0.012957,0.054968,0.132996,-27.760452,-18.313118,-35.725121,,,,,,,
1512177636.356339,0.474751,0.965478,-3.029133,-0.019135,-0.103366,-0.236019,0.260110,-0.822321,-0.506093,0.041602,-0.101904,0.170018,-27.464005,-19.137672,-35.428062,,,,,,,
1512177636.376328,0.472421,0.962080,-3.028659,-0.209645,-0.103058,0.004286,0.260201,-0.820383,-0.509184,0.065071,-0.068152,0.066129,-27.767426,-19.888130,-35.500847,,,,,,,
