timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1512177485.743993,0.368167,0.871852,-3.005010,0.281512,0.267200,0.037197,0.231567,-0.765522,-0.600294,0.036515,-0.051968,0.037580,-28.802673,-16.889671,-33.015556,,,,,,,
1512177485.764012,0.373650,0.876176,-3.006933,0.188037,0.152809,0.010925,0.233644,-0.768297,-0.595928,0.027190,-0.024290,0.027523,-28.578613,-17.114342,-32.867577,,,,,,,
1512177485.784001,0.377411,0.878553,-3.009444,0.106879,0.064147,-0.049191,0.235210,-0.769816,-0.593346,0.009465,-0.007955,0.045174,-28.579697,-17.339348,-33.017677,,,,,,,
1512177485.803992,0.379780,0.879374,-3.011397,0.031957,0.030889,-0.032267,0.236381,-0.770340,-0.592200,0.016076,-0.008606,0.029288,-28.580673,-17.564354,-32.942772,,,,,,,
1512177485.823981,0.381146,0.879755,-3.012758,0.033066,0.021282,-0.035483,0.237081,-0.770583,-0.591604,-0.015172,0.013121,0.017522,-28.580109,-17.414345,-33.167717,,,,,,,
1512177485.844001,0.384817,0.881113,-3.014957,0.131337,0.156041,-0.039984,0.238858,-0.771448,-0.589759,-0.037121,0.032571,-0.005563,-28.504990,-17.414238,-32.943352,,,,,,,
1512177485.863990,0.393026,0.884910,-3.018665,0.264675,0.318595,-0.038559,0.242567,-0.773858,-0.585068,-0.033979,0.041375,-0.027191,-28.429993,-17.414116,-32.943977,,,,,,,
1512177485.883979,0.403293,0.890532,-3.023568,0.324103,0.333604,-0.021656,0.246850,-0.777406,-0.578536,0.000525,-0.014403,0.077392,-27.981308,-17.713448,-32.872948,,,,,,,
1512177485.903998,0.409186,0.893975,-3.024787,0.052072,0.129037,0.045120,0.249189,-0.779568,-0.574612,0.078768,-0.056294,0.050565,-28.137726,-19.063683,-33.547295,,,,,,,
1512177485.923987,0.405697,0.891206,-3.023210,-0.224962,-0.220505,-0.044326,0.248033,-0.777830,-0.577460,0.066008,-0.029222,-0.041269,-27.458527,-18.162666,-33.252617,,,,,,,
1512177485.944007,0.398940,0.886939,-3.021893,-0.158043,-0.285593,-0.033993,0.245413,-0.775142,-0.582175,0.051020,-0.029378,-0.080911,-28.132019,-17.863670,-32.946739,,,,,,,
1512177485.963996,0.393567,0.886475,-3.020866,0.033488,-0.179729,0.057633,0.242419,-0.774848,-0.583818,-0.001331,-0.023492,-0.031432,-28.208633,-18.238792,-32.796288,,,,,,,
1512177485.984015,0.391656,0.889319,-3.020258,0.149506,-0.019356,0.076931,0.240461,-0.776643,-0.582240,-0.039045,0.011796,0.024623,-28.208221,-18.088783,-33.321205,,,,,,,
1512177486.004004,0.392237,0.892500,-3.020331,0.124248,0.027643,0.059673,0.239854,-0.778643,-0.579815,-0.008988,-0.005064,0.057720,-28.433334,-18.164131,-32.869331,,,,,,,
1512177486.023993,0.389706,0.892508,-3.019334,-0.112837,-0.199078,0.009609,0.238382,-0.778648,-0.580415,0.016699,-0.011422,0.069169,-28.132614,-18.013680,-32.796822,,,,,,,
1512177486.044013,0.379664,0.886172,-3.016604,-0.443394,-0.503877,-0.065537,0.234366,-0.774657,-0.587350,0.008752,-0.010301,0.077614,-28.656006,-17.639458,-32.942177,,,,,,,
1512177486.064002,0.364749,0.874772,-3.012895,-0.630355,-0.625843,-0.111310,0.228715,-0.767397,-0.598991,-0.015687,0.002779,0.047661,-29.179169,-17.265251,-32.637550,,,,,,,
1512177486.084021,0.350280,0.862553,-3.009093,-0.589187,-0.529706,-0.082665,0.223226,-0.759506,-0.611000,-0.015081,0.018005,-0.004433,-29.552643,-16.965813,-32.259224,,,,,,,
1512177486.104010,0.339828,0.853727,-3.005894,-0.375558,-0.326515,-0.033020,0.219054,-0.753735,-0.619596,-0.025130,0.037716,-0.039141,-30.152756,-16.966713,-32.479118,,,,,,,
1512177486.124030,0.334340,0.849364,-3.004337,-0.152866,-0.175592,-0.019678,0.216727,-0.750861,-0.623889,-0.005973,0.032706,-0.050900,-30.076584,-16.741600,-32.179649,,,,,,,
1512177486.144019,0.330866,0.847722,-3.003502,-0.068984,-0.151999,0.002945,0.214959,-0.749775,-0.625804,0.014503,-0.000103,-0.043874,-30.298920,-16.141930,-32.252464,,,,,,,
1512177486.164008,0.326389,0.846453,-3.002817,-0.077515,-0.228915,-0.000644,0.212460,-0.748935,-0.627660,0.021854,-0.018811,-0.023692,-30.374115,-16.217033,-31.951851,,,,,,,
1512177486.184027,0.320748,0.844580,-3.002282,-0.096446,-0.266297,-0.018105,0.209358,-0.747692,-0.630179,0.011864,-0.016437,-0.009928,-30.223694,-16.141808,-31.803093,,,,,,,
1512177486.204016,0.315575,0.842920,-3.001977,-0.060305,-0.224600,-0.009976,0.206480,-0.746589,-0.632432,-0.002912,-0.010736,-0.000884,-30.597992,-15.992378,-31.724846,,,,,,,
1512177486.224036,0.311214,0.842030,-3.001954,-0.032582,-0.245922,-0.011782,0.203923,-0.745997,-0.633959,0.003154,-0.001303,-0.006102,-30.823471,-16.067711,-32.022972,,,,,,,
1512177486.244025,0.304798,0.841232,-3.002676,-0.010590,-0.408156,-0.059999,0.200030,-0.745465,-0.635822,0.011258,-0.005313,0.022373,-31.797958,-15.994179,-31.639656,,,,,,,
1512177486.264044,0.298770,0.839353,-3.003847,-0.125839,-0.300473,-0.048504,0.196606,-0.744211,-0.638354,-0.026547,0.005838,0.027193,-31.348633,-16.143501,-31.643547,,,,,,,
1512177486.284033,0.293552,0.836937,-3.003637,-0.108173,-0.211845,-0.015956,0.193792,-0.742595,-0.641090,-0.033224,0.019344,0.027855,-31.497986,-16.068733,-31.042229,,,,,,,
1512177486.304022,0.290462,0.835219,-3.003412,-0.074991,-0.120988,-0.019422,0.192175,-0.741444,-0.642907,-0.017446,0.022160,0.012841,-31.498367,-16.143730,-31.117271,,,,,,,
1512177486.324042,0.288396,0.833411,-3.003777,-0.100201,-0.123117,-0.042182,0.191227,-0.740229,-0.644587,0.000194,-0.001959,0.007457,-31.499527,-16.368736,-31.417366,,,,,,,
1512177486.344031,0.285122,0.830748,-3.004040,-0.146041,-0.218245,-0.046373,0.189670,-0.738436,-0.647099,0.023342,-0.006895,0.001286,-31.571976,-15.843834,-31.041496,,,,,,,
1512177486.364051,0.279312,0.827180,-3.003724,-0.189999,-0.290971,-0.034469,0.186632,-0.736026,-0.650718,0.014357,-0.012738,0.010307,-32.325134,-16.519966,-31.260429,,,,,,,
1512177486.384040,0.273167,0.823284,-3.003064,-0.193263,-0.269627,-0.030181,0.183403,-0.733382,-0.654609,0.000405,0.005370,0.005195,-31.946976,-15.844398,-31.038307,,,,,,,
1512177486.404059,0.268485,0.820134,-3.002417,-0.131549,-0.165935,-0.017196,0.180947,-0.731237,-0.657685,-0.010400,0.013983,-0.002151,-32.395706,-15.620079,-30.509377,,,,,,,
1512177486.424048,0.266166,0.818713,-3.002265,-0.031577,-0.096393,-0.000586,0.179695,-0.730267,-0.659105,0.009362,0.008221,-0.030898,-32.095444,-15.544624,-30.661888,,,,,,,
1512177486.444037,0.264375,0.819557,-3.002049,0.072337,-0.082415,0.034016,0.178353,-0.730843,-0.658830,0.016212,0.004403,-0.025237,-32.398148,-16.145073,-30.659615,,,,,,,
