timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1512177102.484351,0.228687,0.845048,-2.632347,0.000465,-0.067320,0.023545,0.150459,-0.748003,-0.646416,-0.033836,0.020113,0.022240,-32.301498,-10.444939,-38.682594,,,,,,,
1512177102.504340,0.227284,0.844583,-2.631749,-0.046283,-0.036397,0.015513,0.149630,-0.747694,-0.646965,-0.021243,0.010557,0.018822,-32.602814,-10.745384,-38.605186,,,,,,,
1512177102.524360,0.226246,0.843615,-2.631096,-0.051567,-0.018243,0.013367,0.149121,-0.747051,-0.647825,-0.000180,0.000912,0.014875,-32.602890,-10.745384,-38.755180,,,,,,,
1512177102.544349,0.225427,0.842995,-2.630401,-0.028206,-0.015015,0.019046,0.148694,-0.746639,-0.648399,0.005206,0.000270,0.010413,-32.378830,-10.970039,-38.607201,,,,,,,
1512177102.564368,0.224655,0.842675,-2.630081,-0.020481,-0.025649,0.003133,0.148246,-0.746426,-0.648746,-0.002891,0.005413,0.010883,-32.751160,-10.370598,-38.678734,,,,,,,
1512177102.584358,0.224054,0.842160,-2.630404,-0.025530,-0.046986,-0.015139,0.147942,-0.746083,-0.649210,0.006736,0.004155,-0.008230,-32.754883,-11.195610,-38.679115,,,,,,,
1512177102.604347,0.223089,0.841734,-2.630736,-0.012833,-0.057658,-0.009660,0.147386,-0.745799,-0.649662,0.005248,0.000972,-0.017071,-32.977219,-10.595940,-38.751930,,,,,,,
1512177102.624367,0.222434,0.841747,-2.630992,0.011505,-0.024534,0.002532,0.146958,-0.745808,-0.649749,0.004135,-0.002452,-0.011414,-32.827637,-10.670723,-38.903221,,,,,,,
1512177102.644356,0.221907,0.842380,-2.630794,0.035694,-0.012787,0.023179,0.146512,-0.746229,-0.649366,-0.002103,-0.003267,-0.005816,-33.055588,-11.346062,-38.751640,,,,,,,
1512177102.664374,0.221482,0.843221,-2.630456,0.036794,-0.003164,0.022165,0.146098,-0.746789,-0.648816,-0.006877,0.002831,0.014264,-32.602219,-10.595375,-38.755119,,,,,,,
