timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1512177343.080361,0.321167,0.861436,-2.824041,-0.140536,-0.218107,-0.040894,0.205614,-0.758778,-0.618043,-0.013246,0.018208,0.014772,-28.195053,-14.863777,-36.019707,,,,,,,
1512177343.100350,0.317523,0.858874,-2.823858,-0.106618,-0.123023,-0.025150,0.203967,-0.757108,-0.620633,-0.029833,0.019696,0.013913,-28.195953,-15.013771,-36.469780,,,,,,,
1512177343.120369,0.316494,0.857829,-2.823544,-0.023907,0.008429,0.008489,0.203574,-0.756424,-0.621594,-0.016318,0.014908,0.001447,-28.346481,-15.163994,-36.168571,,,,,,,
1512177343.140358,0.316893,0.858131,-2.823125,0.013211,0.038371,0.021925,0.203751,-0.756622,-0.621296,0.000625,0.005370,-0.001766,-28.720551,-14.939568,-36.315269,,,,,,,
1512177343.160348,0.316453,0.857878,-2.822722,-0.043035,-0.039662,0.001645,0.203537,-0.756457,-0.621567,0.007599,-0.004560,0.003220,-28.720505,-14.939568,-36.240273,,,,,,,
1512177343.180367,0.314855,0.856353,-2.822586,-0.085220,-0.083462,-0.027901,0.202900,-0.755458,-0.622988,0.001659,0.004924,0.003588,-28.947495,-15.389900,-36.163582,,,,,,,
1512177343.200356,0.313621,0.854870,-2.823082,-0.047703,-0.062016,-0.039008,0.202477,-0.754485,-0.624303,-0.004754,0.010055,0.005040,-28.872681,-15.464790,-35.864250,,,,,,,
1512177343.220376,0.313695,0.854362,-2.823954,0.003324,-0.010684,-0.027428,0.202641,-0.754152,-0.624653,-0.005070,0.010225,-0.000210,-28.718475,-14.489555,-36.240074,,,,,,,
1512177343.240365,0.313955,0.854575,-2.824724,0.016960,-0.020303,-0.014472,0.202754,-0.754292,-0.624447,-0.001613,0.006932,0.005718,-28.344421,-14.713997,-36.093361,,,,,,,
1512177343.260384,0.313805,0.854191,-2.825449,-0.033799,-0.036357,-0.040851,0.202750,-0.754040,-0.624753,-0.014090,0.014233,0.009015,-28.946442,-15.164894,-36.088463,,,,,,,
1512177343.280373,0.313530,0.852790,-2.826879,-0.058842,-0.083324,-0.075489,0.202904,-0.753119,-0.625813,-0.004997,0.006765,-0.004405,-29.022827,-15.465019,-36.162971,,,,,,,
