unixtime,rx,ry,rz,ax,ay,az,mx,my,mz,apprx,appry,apprz,appax,appay,appaz,appmx,appmy,appmz
1512180023,9.200,-3.200,2.700,-76050.000,-79160.000,1033690.000,-50000.000,14000.000,3000.000,48.295,211.212,-24.957,-60.801,13.414,-61.804,30303.726,-32251.030,-31950.645
1512180023,-9.300,5.600,2.300,-90390.000,-92040.000,989810.000,-43000.000,-7000.000,-10000.000,203.813,91.933,-88.150,-26.516,9.717,-27.083,30977.798,-32475.014,-31806.480
1512180023,-1.200,2.100,2.700,-82280.000,-92350.000,989560.000,-43000.000,-7000.000,-10000.000,200.648,-85.369,-98.405,-4.036,-0.522,8.407,30752.045,-32625.359,-31954.643
1512180023,2.500,1.900,0.300,-71530.000,-84900.000,1031620.000,-43000.000,-7000.000,-10000.000,117.322,-137.860,-91.270,12.049,-6.741,34.879,30749.527,-33150.352,-32254.875
1512180023,-3.600,1.200,2.800,-79350.000,-93570.000,975340.000,-43000.000,-7000.000,-10000.000,26.156,-103.879,-55.157,6.615,-3.218,23.425,30976.181,-32775.017,-32331.612
1512180023,-11.600,7.300,-0.800,-62620.000,-96310.000,1001950.000,-43000.000,-7000.000,-10000.000,26.459,8.304,-68.623,-1.930,10.735,16.688,30750.122,-33000.359,-32404.808
1512180023,-0.500,0.300,1.900,-69820.000,-65190.000,1004460.000,-43000.000,10000.000,-20000.000,34.285,62.828,-88.577,10.925,14.439,18.664,30675.507,-32925.468,-32329.124
1512180023,-7.200,4.100,2.500,-83010.000,-81540.000,994510.000,-43000.000,10000.000,-20000.000,51.377,77.816,-89.341,15.286,14.320,8.968,30898.331,-33375.130,-32631.248
1512180023,-6.700,-0.500,2.800,-79040.000,-79960.000,991940.000,-43000.000,10000.000,-20000.000,142.861,134.547,-73.956,11.654,23.139,6.973,31801.559,-32698.784,-32263.588
1512180023,6.400,-5.700,2.000,-70010.000,-72880.000,1022950.000,-43000.000,10000.000,-20000.000,128.652,63.988,-56.285,30.246,17.720,1.925,31425.201,-32999.336,-32260.536
1512180023,0.100,-2.400,2.500,-72270.000,-74520.000,993840.000,-38000.000,12000.000,-11000.000,-64.841,54.141,-88.973,19.256,4.553,26.541,31722.122,-33673.897,-32338.402
1512180023,-13.200,3.600,2.400,-62190.000,-75870.000,993350.000,-38000.000,12000.000,-11000.000,-380.289,286.389,-19.177,3.205,0.855,55.602,32026.108,-32773.445,-32490.532
1512180023,3.700,-8.300,0.300,-54500.000,-63960.000,1035710.000,-38000.000,12000.000,-11000.000,-550.627,488.964,40.889,-5.997,3.733,17.658,32254.898,-31948.097,-32342.064
1512180023,-14.000,-1.500,1.500,-58170.000,-76420.000,984560.000,-38000.000,12000.000,-11000.000,-467.523,682.669,-75.563,-40.056,3.474,-65.775,32855.118,-31872.200,-32572.136
1512180023,-12.000,-3.700,1.700,-40160.000,-63780.000,1002080.000,-38000.000,12000.000,-11000.000,-464.485,971.420,-246.152,-38.216,-17.836,-7.481,33834.137,-31045.738,-31980.049
1512180023,-1.300,-11.500,1.600,-38090.000,-43400.000,1032040.000,-59000.000,8000.000,-18000.000,-480.642,1170.298,-355.497,-48.059,-90.003,-13.119,34661.240,-30594.490,-31836.861
1512180023,-5.100,-8.700,1.300,-36930.000,-49500.000,995360.000,-59000.000,8000.000,-18000.000,-736.218,848.318,-323.007,-92.592,-10.565,37.910,35563.904,-29993.126,-31919.228
1512180023,-11.600,-5.200,2.400,-20450.000,-47610.000,991640.000,-59000.000,8000.000,-18000.000,-1201.343,-34.682,-346.678,-77.003,79.407,107.385,35941.376,-29392.570,-32372.124
1512180023,2.800,-7.500,0.800,-4090.000,-39250.000,1020200.000,-59000.000,8000.000,-18000.000,-1311.506,-1075.904,-569.372,-100.320,-23.535,104.065,36473.618,-27666.771,-33425.789
1512180023,-2.400,-7.900,3.200,-11540.000,-39310.000,969670.000,-59000.000,8000.000,-18000.000,-1175.792,-1760.436,-558.062,-26.785,-91.372,56.197,35957.169,-25642.540,-34545.387
1512180023,-12.300,-4.800,1.900,-5370.000,-47000.000,986510.000,-45000.000,-1000.000,-11000.000,-707.130,-1899.132,-282.042,64.542,-70.821,42.039,35216.278,-23468.651,-35887.993
1512180023,3.900,-6.800,1.900,6710.000,-34480.000,1013920.000,-45000.000,-1000.000,-11000.000,-341.871,-308.351,-115.570,52.239,58.333,165.762,34394.348,-22644.890,-37155.602
1512180023,-0.100,-2.700,0.100,-6590.000,-39670.000,990300.000,-45000.000,-1000.000,-11000.000,-187.030,508.071,-156.327,-92.081,132.050,177.031,34324.600,-21445.000,-37454.414
1512180023,-2.900,1.200,0.100,240.000,-46880.000,985470.000,-45000.000,-1000.000,-11000.000,-223.834,489.919,-187.838,-41.163,115.370,33.727,34401.398,-21069.878,-37229.881
1512180023,8.900,-4.800,-0.100,2500.000,-28630.000,1022580.000,-43000.000,3000.000,-6000.000,-350.335,-732.901,118.429,66.330,78.458,-269.633,35082.031,-19868.858,-36785.057
1512180023,9.700,-2.900,1.600,5190.000,-26610.000,995180.000,-43000.000,3000.000,-6000.000,-268.494,-1204.731,562.519,1.835,107.366,-81.950,34561.523,-18819.633,-37230.110
1512180023,-2.000,2.500,2.100,1890.000,-33630.000,1001340.000,-43000.000,3000.000,-6000.000,-42.128,-425.569,514.142,109.987,76.958,8.237,33586.044,-18896.095,-37521.858
1512180023,3.100,1.900,3.100,21670.000,-16850.000,1016300.000,-43000.000,3000.000,-6000.000,244.560,-486.966,450.918,108.807,45.502,-78.360,32836.227,-18897.224,-37140.495
1512180023,3.900,-1.600,1.500,19960.000,-14830.000,989070.000,-43000.000,3000.000,-6000.000,5.560,-223.661,541.120,309.440,-133.346,-68.799,32535.919,-18972.679,-37062.981
1512180023,-4.400,1.200,1.500,19650.000,-20320.000,992070.000,-36000.000,0.000,-6000.000,-160.251,-236.163,251.904,94.301,43.157,-71.343,32087.051,-18748.344,-36834.038
1512180023,-3.200,-0.400,-0.500,35100.000,-7630.000,1009220.000,-36000.000,0.000,-6000.000,98.958,-719.338,89.806,74.144,33.504,-142.656,31488.052,-18524.254,-36828.835
