unixtime,rx,ry,rz,ax,ay,az,mx,my,mz,apprx,appry,apprz,appax,appay,appaz,appmx,appmy,appmz
1512178753,26.800,-7.200,243.700,65430.000,-43460.000,922730.000,384000.000,-31000.000,-245000.000,-348.068,595.596,1512.659,-43.129,85.679,-117.285,-21254.257,-22053.368,-39682.289
1512178753,37.700,-36.000,250.200,24600.000,-8480.000,988770.000,384000.000,-31000.000,-245000.000,-288.625,556.136,1526.176,-48.355,119.874,-127.951,-21474.411,-21003.685,-39454.903
1512178753,23.600,-2.000,237.700,56580.000,-30330.000,1001770.000,397000.000,-37000.000,-253000.000,-126.127,494.489,1495.267,-59.648,140.351,-114.976,-21924.911,-21079.369,-39751.106
1512178753,-56.900,-46.100,237.300,70500.000,-51820.000,984800.000,397000.000,-37000.000,-253000.000,64.886,452.206,1416.866,-74.364,137.242,-55.422,-21998.627,-20779.472,-39900.337
1512178753,-100.000,3.300,227.400,71590.000,-103210.000,1018370.000,397000.000,-37000.000,-253000.000,161.197,509.137,1333.176,-87.281,104.775,32.003,-22065.796,-19054.573,-39748.894
1512178753,-26.200,-7.600,224.800,65250.000,-70310.000,1033690.000,397000.000,-37000.000,-253000.000,152.467,632.057,1286.570,-84.102,67.987,90.316,-21991.577,-19204.475,-39974.602
1512178753,-56.600,-15.700,220.500,26980.000,-91920.000,973690.000,397000.000,-37000.000,-253000.000,80.994,729.140,1294.402,-70.101,37.054,101.065,-22139.862,-18829.689,-39898.155
1512178753,-27.800,36.500,219.800,34000.000,-54570.000,1007390.000,398000.000,-45000.000,-231000.000,-30.161,766.317,1313.174,-57.328,34.764,82.924,-22136.856,-18154.686,-39972.847
1512178753,17.200,-7.100,224.400,60910.000,-55790.000,960140.000,398000.000,-45000.000,-231000.000,-153.770,717.005,1308.016,-44.033,34.461,51.156,-22286.255,-18004.906,-40121.498
1512178753,6.900,12.400,221.300,74280.000,-86550.000,1005310.000,398000.000,-45000.000,-231000.000,-236.417,633.497,1337.441,-31.859,22.380,26.213,-22132.690,-17179.680,-40422.401
1512178753,-13.800,44.700,223.700,62870.000,-52190.000,979430.000,398000.000,-45000.000,-231000.000,-265.032,597.031,1390.203,-36.203,15.663,21.806,-21904.022,-16354.332,-40498.924
1512178753,-19.000,13.800,225.400,21360.000,-33140.000,1007510.000,414000.000,-29000.000,-243000.000,-272.865,640.766,1414.761,-47.643,15.505,19.818,-22052.032,-15904.564,-40572.441
1512178753,-44.700,-4.100,220.600,72080.000,-51760.000,1003050.000,414000.000,-29000.000,-243000.000,-259.572,633.369,1384.012,-51.816,24.797,-3.289,-22123.474,-15079.659,-40871.422
1512178753,-58.300,-1.500,214.800,-12630.000,-85210.000,1015560.000,414000.000,-29000.000,-243000.000,-244.650,536.329,1315.667,-41.695,26.094,-27.828,-22043.930,-14029.549,-41246.574
1512178753,-18.800,26.000,216.900,14650.000,-82700.000,932560.000,414000.000,-29000.000,-243000.000,-198.782,469.237,1245.736,-41.102,26.607,-23.562,-21891.266,-13429.314,-41322.578
1512178753,-2.300,34.900,217.200,28930.000,-60060.000,949890.000,414000.000,-29000.000,-243000.000,-172.180,394.628,1179.764,-34.219,20.069,-14.455,-22037.521,-12604.530,-41245.903
1512178753,10.700,20.100,220.600,12570.000,-85080.000,977170.000,419000.000,-24000.000,-245000.000,-143.757,349.899,1135.247,-35.915,-7.700,-2.835,-22109.222,-11854.652,-41394.936
1512178753,72.400,-15.600,218.400,41630.000,-27950.000,972900.000,419000.000,-24000.000,-245000.000,-165.268,339.290,1081.596,-36.947,-16.697,19.864,-21958.878,-11779.411,-41396.172
1512178753,23.400,-75.400,83.000,14830.000,-30400.000,1011960.000,419000.000,-24000.000,-245000.000,-134.232,356.438,1074.641,-42.660,-44.568,34.852,-22481.888,-11330.208,-41466.499
1512178753,161.500,178.000,128.400,14400.000,-28080.000,906370.000,419000.000,-24000.000,-245000.000,-114.725,342.621,1054.620,-39.132,-43.052,43.469,-22330.200,-10954.979,-41467.598
1512178753,-23.600,-117.200,189.000,11050.000,-15990.000,1131470.000,419000.000,-3000.000,-258000.000,-104.121,371.599,995.176,-49.866,-45.556,50.583,-22551.193,-9980.309,-42215.248
1512178753,-177.200,-139.300,227.800,-19530.000,-58350.000,928160.000,419000.000,-3000.000,-258000.000,-67.020,418.755,945.774,-53.602,-61.683,47.148,-21873.184,-9379.280,-41620.689
1512178753,-67.200,1.300,320.200,29300.000,-12700.000,1031370.000,419000.000,-3000.000,-258000.000,18.523,390.079,928.791,-41.847,-75.664,23.243,-22096.207,-8929.619,-41693.581
1512178753,-226.200,-279.800,255.100,-33690.000,-34910.000,1053280.000,419000.000,-3000.000,-258000.000,41.323,302.576,898.965,-40.106,-78.982,18.252,-21945.038,-8629.402,-42069.710
1512178753,-127.700,-237.000,124.100,17880.000,-24960.000,965450.000,419000.000,-3000.000,-258000.000,40.714,359.839,842.123,-63.339,-93.872,40.169,-21904.258,-7879.334,-42257.187
1512178753,159.400,144.300,86.000,41080.000,-36800.000,1029850.000,416000.000,-3000.000,-245000.000,12.718,464.096,767.457,-54.938,-89.457,5.233,-21527.199,-7391.265,-42522.644
1512178753,27.700,67.400,206.000,15630.000,-31980.000,1022460.000,416000.000,-3000.000,-245000.000,26.449,394.737,739.163,-47.498,-89.895,-35.038,-21373.764,-6603.538,-42748.558
1512178753,-55.700,-88.600,121.600,5620.000,-44860.000,991520.000,416000.000,-3000.000,-245000.000,99.887,387.615,617.074,-44.840,-78.740,-51.685,-20996.460,-6077.972,-42863.999
1512178753,-26.800,-25.700,59.100,68970.000,-50720.000,998350.000,416000.000,-3000.000,-245000.000,232.059,266.838,482.644,-45.997,-93.361,-44.810,-20959.725,-6227.921,-43051.887
1512178753,-2.800,21.600,-62.300,98880.000,-55420.000,1009580.000,416000.000,-3000.000,-245000.000,124.138,296.805,369.781,-43.183,-102.658,-3.334,-20696.342,-6002.525,-43316.520
1512178753,38.600,-32.600,-339.000,41690.000,-84960.000,921080.000,416000.000,-31000.000,-238000.000,-170.651,418.780,313.167,-35.064,-71.881,4.050,-20657.630,-5664.963,-43916.679
1512178753,40.100,177.500,-221.700,21910.000,-36870.000,961430.000,416000.000,-31000.000,-238000.000,-344.383,525.391,283.836,-3.197,-23.183,-59.351,-20092.499,-5064.118,-44071.182
1512178753,26.500,63.300,-144.700,-40830.000,12820.000,1018800.000,416000.000,-31000.000,-238000.000,-255.064,428.836,292.788,73.325,68.851,-184.352,-19825.386,-3976.211,-44635.407
1512178753,-56.300,-16.400,-265.900,38450.000,-18430.000,971920.000,416000.000,-31000.000,-238000.000,162.703,-86.495,307.709,114.916,140.240,-155.272,-19898.361,-3526.322,-44634.552
1512178753,6.400,-2.500,208.000,730.000,19710.000,956910.000,439000.000,-89000.000,-91000.000,428.922,-100.071,357.360,90.318,121.972,56.451,-20387.695,-3939.560,-44593.102
1512178753,4.500,4.400,208.300,-4580.000,-5920.000,1039250.000,439000.000,-89000.000,-91000.000,266.848,80.401,529.941,106.237,99.826,78.049,-21137.574,-3903.183,-44661.713
